# IDX        LATG        LATC        LONW          MU          TB
    0      -68.50      -64.17      178.35      0.0072       -3.21
    1      -64.83      -59.99      171.35      0.0843       -3.54
    2      -63.51      -58.52      167.40      0.1146       -3.91
    3      -62.68      -57.59      164.04      0.1345       -4.05
    4      -62.11      -56.96      160.97      0.1483       -3.78
    5      -61.74      -56.55      158.06      0.1575       -3.20
    6      -61.53      -56.32      155.25      0.1628       -2.65
    7      -61.45      -56.23      152.49      0.1647       -2.58
    8      -61.51      -56.29      149.73      0.1633       -3.23
    9      -61.70      -56.51      146.92      0.1584       -4.46
   10      -62.05      -56.89      144.04      0.1498       -5.79
   11      -62.58      -57.48      140.99      0.1368       -6.56
   12      -63.37      -58.36      137.68      0.1178       -6.32
   13      -64.60      -59.73      133.85      0.0895       -5.12
   14      -67.21      -62.69      128.22      0.0331       -3.38
   15      -62.02      -56.85      185.12      0.0842       -8.26
   16      -59.95      -54.59      179.92      0.1365       -6.91
   17      -58.66      -53.19      176.06      0.1709       -5.99
   18      -57.72      -52.18      172.76      0.1967       -5.66
   19      -56.99      -51.40      169.80      0.2170       -5.80
   20      -56.42      -50.79      167.04      0.2333       -6.20
   21      -55.97      -50.31      164.43      0.2463       -6.71
   22      -55.62      -49.94      161.93      0.2565       -7.15
   23      -55.36      -49.67      159.50      0.2642       -7.26
   24      -55.18      -49.47      157.13      0.2696       -6.82
   25      -55.07      -49.36      154.78      0.2729       -5.92
   26      -55.03      -49.32      152.46      0.2740       -5.03
   27      -55.06      -49.35      150.13      0.2732       -4.69
   28      -55.16      -49.45      147.79      0.2702       -5.14
   29      -55.33      -49.63      145.42      0.2651       -6.21
   30      -55.58      -49.90      143.00      0.2577       -7.38
   31      -55.92      -50.26      140.51      0.2479       -8.10
   32      -56.35      -50.72      137.92      0.2353       -8.01
   33      -56.91      -51.31      135.19      0.2195       -7.11
   34      -57.61      -52.06      132.26      0.1998       -5.77
   35      -58.51      -53.03      129.02      0.1749       -4.50
   36      -59.74      -54.36      125.26      0.1421       -3.65
   37      -61.64      -56.43      120.36      0.0936       -3.22
   38      -58.56      -53.08      190.85      0.1068      -11.90
   39      -56.55      -50.93      185.65      0.1626      -13.27
   40      -55.22      -49.52      181.75      0.2011      -13.54
   41      -54.21      -48.46      178.44      0.2312      -12.42
   42      -53.40      -47.61      175.49      0.2557      -10.42
   43      -52.74      -46.93      172.76      0.2761       -8.48
   44      -52.19      -46.36      170.21      0.2932       -7.33
   45      -51.74      -45.90      167.78      0.3075       -7.13
   46      -51.36      -45.51      165.44      0.3195       -7.52
   47      -51.06      -45.20      163.18      0.3293       -8.06
   48      -50.81      -44.95      160.97      0.3371       -8.51
   49      -50.63      -44.76      158.81      0.3432       -8.76
   50      -50.50      -44.62      156.67      0.3474       -8.68
   51      -50.42      -44.54      154.55      0.3500       -8.15
   52      -50.39      -44.51      152.44      0.3509       -7.31
   53      -50.41      -44.53      150.33      0.3502       -6.63
   54      -50.48      -44.61      148.22      0.3479       -6.61
   55      -50.61      -44.73      146.08      0.3439       -7.36
   56      -50.78      -44.92      143.92      0.3381       -8.51
   57      -51.02      -45.16      141.72      0.3305       -9.46
   58      -51.32      -45.46      139.47      0.3210       -9.76
   59      -51.68      -45.84      137.14      0.3093       -9.32
   60      -52.13      -46.29      134.73      0.2953       -8.34
   61      -52.66      -46.84      132.19      0.2786       -7.27
   62      -53.30      -47.51      129.50      0.2588       -6.65
   63      -54.09      -48.33      126.58      0.2349       -6.83
   64      -55.06      -49.35      123.33      0.2058       -7.71
   65      -56.34      -50.70      119.54      0.1687       -8.63
   66      -58.20      -52.70      114.61      0.1165       -8.78
   67      -57.57      -52.01      199.75      0.0670       -8.91
   68      -54.63      -48.89      192.52      0.1514      -10.14
   69      -52.98      -47.18      188.03      0.2010      -10.94
   70      -51.78      -45.94      184.42      0.2385      -11.91
   71      -50.83      -44.96      181.28      0.2690      -13.24
   72      -50.04      -44.16      178.45      0.2945      -14.36
   73      -49.38      -43.49      175.83      0.3162      -14.36
   74      -48.81      -42.92      173.36      0.3349      -12.88
   75      -48.33      -42.44      171.02      0.3510      -10.44
   76      -47.92      -42.03      168.77      0.3649       -8.09
   77      -47.58      -41.68      166.59      0.3767       -6.67
   78      -47.28      -41.39      164.47      0.3867       -6.34
   79      -47.04      -41.15      162.40      0.3950       -6.67
   80      -46.85      -40.96      160.36      0.4017       -7.08
   81      -46.70      -40.81      158.36      0.4068       -7.22
   82      -46.59      -40.70      156.37      0.4105       -7.09
   83      -46.53      -40.64      154.40      0.4127       -6.75
   84      -46.51      -40.62      152.43      0.4135       -6.29
   85      -46.52      -40.64      150.47      0.4129       -5.89
   86      -46.58      -40.69      148.49      0.4109       -5.90
   87      -46.68      -40.79      146.51      0.4074       -6.62
   88      -46.83      -40.93      144.51      0.4025       -7.93
   89      -47.01      -41.12      142.48      0.3960       -9.32
   90      -47.25      -41.35      140.41      0.3880      -10.11
   91      -47.53      -41.64      138.30      0.3782       -9.97
   92      -47.87      -41.97      136.13      0.3667       -9.04
   93      -48.27      -42.38      133.89      0.3531       -7.78
   94      -48.74      -42.85      131.56      0.3373       -6.79
   95      -49.29      -43.40      129.12      0.3190       -6.60
   96      -49.94      -44.06      126.52      0.2977       -7.52
   97      -50.71      -44.84      123.72      0.2728       -9.34
   98      -51.63      -45.79      120.63      0.2432      -11.24
   99      -52.80      -46.99      117.10      0.2068      -12.12
  100      -54.36      -48.61      112.78      0.1594      -11.31
  101      -56.95      -51.35      106.31      0.0844       -9.02
  102      -54.46      -48.72      202.07      0.0890       -1.96
  103      -51.82      -45.98      195.41      0.1697       -3.63
  104      -50.22      -44.34      191.02      0.2208       -5.47
  105      -49.02      -43.12      187.45      0.2602       -7.06
  106      -48.05      -42.15      184.34      0.2926       -8.11
  107      -47.24      -41.34      181.54      0.3201       -8.78
  108      -46.55      -40.66      178.95      0.3438       -9.51
  109      -45.95      -40.07      176.51      0.3645      -10.53
  110      -45.44      -39.56      174.20      0.3825      -11.42
  111      -44.99      -39.12      171.99      0.3984      -11.42
  112      -44.60      -38.74      169.86      0.4122      -10.16
  113      -44.26      -38.41      167.78      0.4243       -8.02
  114      -43.97      -38.13      165.77      0.4346       -5.86
  115      -43.73      -37.90      163.79      0.4434       -4.42
  116      -43.53      -37.70      161.85      0.4508       -3.90
  117      -43.36      -37.54      159.93      0.4567       -3.95
  118      -43.24      -37.42      158.04      0.4613       -4.08
  119      -43.15      -37.33      156.16      0.4646       -3.96
  120      -43.09      -37.28      154.29      0.4666       -3.59
  121      -43.07      -37.26      152.43      0.4673       -3.15
  122      -43.09      -37.27      150.56      0.4668       -2.84
  123      -43.14      -37.32      148.69      0.4650       -2.87
  124      -43.22      -37.40      146.82      0.4619       -3.42
  125      -43.34      -37.52      144.92      0.4575       -4.56
  126      -43.50      -37.67      143.01      0.4517       -6.08
  127      -43.70      -37.87      141.07      0.4446       -7.47
  128      -43.94      -38.10      139.10      0.4360       -8.17
  129      -44.22      -38.37      137.09      0.4258       -7.94
  130      -44.55      -38.69      135.03      0.4140       -6.95
  131      -44.93      -39.07      132.90      0.4004       -5.71
  132      -45.37      -39.50      130.70      0.3849       -4.76
  133      -45.88      -40.00      128.41      0.3671       -4.59
  134      -46.46      -40.57      125.99      0.3469       -5.45
  135      -47.13      -41.24      123.43      0.3236       -7.16
  136      -47.93      -42.03      120.65      0.2967       -9.06
  137      -48.87      -42.98      117.60      0.2651      -10.20
  138      -50.03      -44.15      114.11      0.2268       -9.91
  139      -51.56      -45.71      109.87      0.1779       -8.21
  140      -53.95      -48.18      103.78      0.1043       -5.83
  141      -52.71      -46.89      206.56      0.0745        1.03
  142      -49.70      -43.81      199.04      0.1698        0.37
  143      -47.99      -42.10      194.43      0.2263       -0.27
  144      -46.72      -40.83      190.75      0.2695       -0.96
  145      -45.70      -39.82      187.59      0.3050       -1.79
  146      -44.84      -38.98      184.74      0.3352       -2.72
