# IDX        LATG        LATC        LONW          MU          TB
    0      -68.50      -64.17      178.35      0.0072       98.40
    1      -64.83      -59.99      171.35      0.0843      101.70
    2      -63.51      -58.52      167.40      0.1146      103.34
    3      -62.68      -57.59      164.04      0.1345      104.17
    4      -62.11      -56.96      160.97      0.1483      104.87
    5      -61.74      -56.55      158.06      0.1575      105.64
    6      -61.53      -56.32      155.25      0.1628      106.26
    7      -61.45      -56.23      152.49      0.1647      106.33
    8      -61.51      -56.29      149.73      0.1633      105.62
    9      -61.70      -56.51      146.92      0.1584      104.25
   10      -62.05      -56.89      144.04      0.1498      102.68
   11      -62.58      -57.48      140.99      0.1368      101.40
   12      -63.37      -58.36      137.68      0.1178      100.55
   13      -64.60      -59.73      133.85      0.0895       99.54
   14      -67.21      -62.69      128.22      0.0331       97.18
   15      -62.02      -56.85      185.12      0.0842       97.15
   16      -59.95      -54.59      179.92      0.1365      106.46
   17      -58.66      -53.19      176.06      0.1709      115.05
   18      -57.72      -52.18      172.76      0.1967      122.68
   19      -56.99      -51.40      169.80      0.2170      128.97
   20      -56.42      -50.79      167.04      0.2333      133.51
   21      -55.97      -50.31      164.43      0.2463      136.26
   22      -55.62      -49.94      161.93      0.2565      137.67
   23      -55.36      -49.67      159.50      0.2642      138.48
   24      -55.18      -49.47      157.13      0.2696      139.35
   25      -55.07      -49.36      154.78      0.2729      140.42
   26      -55.03      -49.32      152.46      0.2740      141.37
   27      -55.06      -49.35      150.13      0.2732      141.70
   28      -55.16      -49.45      147.79      0.2702      141.17
   29      -55.33      -49.63      145.42      0.2651      139.96
   30      -55.58      -49.90      143.00      0.2577      138.55
   31      -55.92      -50.26      140.51      0.2479      137.38
   32      -56.35      -50.72      137.92      0.2353      136.58
   33      -56.91      -51.31      135.19      0.2195      135.72
   34      -57.61      -52.06      132.26      0.1998      133.74
   35      -58.51      -53.03      129.02      0.1749      129.37
   36      -59.74      -54.36      125.26      0.1421      121.56
   37      -61.64      -56.43      120.36      0.0936      110.01
   38      -58.56      -53.08      190.85      0.1068       92.76
   39      -56.55      -50.93      185.65      0.1626      102.56
   40      -55.22      -49.52      181.75      0.2011      112.33
   41      -54.21      -48.46      178.44      0.2312      121.95
   42      -53.40      -47.61      175.49      0.2557      130.86
   43      -52.74      -46.93      172.76      0.2761      138.45
   44      -52.19      -46.36      170.21      0.2932      144.42
   45      -51.74      -45.90      167.78      0.3075      148.90
   46      -51.36      -45.51      165.44      0.3195      152.17
   47      -51.06      -45.20      163.18      0.3293      154.46
   48      -50.81      -44.95      160.97      0.3371      155.93
   49      -50.63      -44.76      158.81      0.3432      156.81
