# IDX        LATG        LATC        LONW          MU          TB
    0      -62.98      -57.92      162.17      0.0289        1.09
    1      -61.06      -55.80      159.34      0.0664        0.52
    2      -60.08      -54.73      157.11      0.0863        0.09
    3      -59.44      -54.04      155.08      0.0997       -0.19
    4      -59.00      -53.56      153.17      0.1090       -0.25
    5      -58.71      -53.25      151.32      0.1152       -0.03
    6      -58.55      -53.07      149.51      0.1187        0.39
    7      -58.50      -53.01      147.72      0.1199        0.82
    8      -58.55      -53.07      145.93      0.1187        1.07
    9      -58.72      -53.25      144.12      0.1151        1.07
   10      -59.01      -53.57      142.27      0.1088        0.96
   11      -59.45      -54.05      140.35      0.0995        0.93
   12      -60.10      -54.75      138.32      0.0859        1.15
   13      -61.09      -55.83      136.08      0.0659        1.60
   14      -63.05      -58.00      133.23      0.0276        2.21
   15      -60.77      -55.48      173.36      0.0367        2.86
   16      -58.19      -52.68      169.53      0.0910        3.07
   17      -56.82      -51.21      166.92      0.1213        2.71
   18      -55.84      -50.17      164.69      0.1436        1.88
   19      -55.08      -49.37      162.67      0.1613        1.00
   20      -54.47      -48.73      160.79      0.1756        0.40
   21      -53.98      -48.22      159.01      0.1873        0.09
   22      -53.58      -47.80      157.29      0.1970       -0.06
   23      -53.26      -47.47      155.63      0.2048       -0.12
   24      -53.01      -47.21      154.01      0.2110       -0.02
   25      -52.82      -47.01      152.41      0.2157        0.29
   26      -52.69      -46.87      150.84      0.2189        0.79
   27      -52.61      -46.79      149.28      0.2209        1.30
   28      -52.58      -46.77      147.72      0.2215        1.63
   29      -52.61      -46.79      146.17      0.2209        1.70
   30      -52.69      -46.88      144.60      0.2189        1.59
   31      -52.82      -47.01      143.03      0.2156        1.47
   32      -53.02      -47.21      141.43      0.2109        1.52
   33      -53.27      -47.48      139.81      0.2046        1.78
   34      -53.59      -47.81      138.14      0.1968        2.22
   35      -53.99      -48.23      136.43      0.1871        2.77
   36      -54.49      -48.75      134.64      0.1753        3.40
   37      -55.09      -49.38      132.76      0.1609        4.00
   38      -55.85      -50.19      130.74      0.1432        4.41
   39      -56.84      -51.23      128.51      0.1208        4.48
   40      -58.22      -52.71      125.88      0.0903        4.24
   41      -60.87      -55.59      121.99      0.0347        3.88
   42      -59.15      -53.72      180.43      0.0347       -1.98
   43      -56.09      -50.44      175.74      0.1021       -1.77
   44      -54.53      -48.79      172.85      0.1385       -1.33
   45      -53.40      -47.61      170.46      0.1656       -0.76
   46      -52.51      -46.69      168.34      0.1874       -0.45
   47      -51.78      -45.93      166.40      0.2057       -0.73
   48      -51.16      -45.30      164.57      0.2212       -1.47
   49      -50.64      -44.77      162.84      0.2345       -2.17
   50      -50.20      -44.32      161.18      0.2459       -2.43
   51      -49.82      -43.94      159.58      0.2557       -2.24
   52      -49.50      -43.62      158.01      0.2641       -1.88
   53      -49.24      -43.34      156.49      0.2712       -1.53
   54      -49.01      -43.12      154.99      0.2770       -1.19
   55      -48.84      -42.94      153.51      0.2817       -0.75
   56      -48.70      -42.81      152.05      0.2853       -0.23
   57      -48.61      -42.71      150.60      0.2878        0.29
   58      -48.55      -42.66      149.16      0.2894        0.65
   59      -48.53      -42.64      147.72      0.2898        0.76
   60      -48.55      -42.66      146.28      0.2893        0.69
   61      -48.61      -42.71      144.84      0.2878        0.53
   62      -48.71      -42.81      143.39      0.2852        0.43
   63      -48.84      -42.95      141.93      0.2816        0.44
   64      -49.02      -43.13      140.45      0.2769        0.55
   65      -49.24      -43.35      138.95      0.2711        0.77
   66      -49.51      -43.62      137.43      0.2640        1.06
   67      -49.83      -43.95      135.86      0.2556        1.36
   68      -50.21      -44.33      134.26      0.2457        1.53
   69      -50.65      -44.78      132.60      0.2342        1.48
   70      -51.18      -45.32      130.86      0.2209        1.24
   71      -51.79      -45.95      129.04      0.2053        0.94
   72      -52.52      -46.70      127.09      0.1870        0.70
   73      -53.42      -47.63      124.97      0.1651        0.51
   74      -54.55      -48.82      122.57      0.1378        0.28
   75      -56.13      -50.48      119.66      0.1012       -0.09
   76      -59.29      -53.87      114.87      0.0318       -0.59
   77      -56.64      -51.02      184.25      0.0538       -6.24
   78      -53.89      -48.12      179.74      0.1179       -6.06
   79      -52.31      -46.48      176.77      0.1563       -5.74
   80      -51.14      -45.28      174.33      0.1857       -5.33
   81      -50.20      -44.33      172.17      0.2097       -4.74
   82      -49.42      -43.53      170.20      0.2301       -4.06
   83      -48.75      -42.86      168.36      0.2478       -3.64
   84      -48.18      -42.28      166.62      0.2632       -3.78
   85      -47.67      -41.78      164.96      0.2767       -4.35
   86      -47.23      -41.34      163.37      0.2886       -4.82
   87      -46.85      -40.96      161.82      0.2991       -4.75
   88      -46.52      -40.63      160.31      0.3083       -4.12
   89      -46.23      -40.34      158.84      0.3164       -3.29
   90      -45.98      -40.09      157.40      0.3233       -2.58
   91      -45.77      -39.89      155.98      0.3292       -2.05
   92      -45.59      -39.71      154.57      0.3341       -1.61
   93      -45.45      -39.58      153.19      0.3380       -1.17
   94      -45.34      -39.47      151.81      0.3411       -0.76
   95      -45.27      -39.39      150.44      0.3432       -0.47
   96      -45.22      -39.35      149.08      0.3445       -0.34
   97      -45.20      -39.33      147.72      0.3449       -0.35
   98      -45.22      -39.35      146.36      0.3445       -0.45
   99      -45.27      -39.40      145.00      0.3432       -0.57
  100      -45.34      -39.47      143.63      0.3410       -0.70
  101      -45.45      -39.58      142.26      0.3379       -0.81
  102      -45.59      -39.72      140.87      0.3340       -0.88
  103      -45.77      -39.89      139.47      0.3290       -0.86
  104      -45.98      -40.10      138.05      0.3231       -0.80
  105      -46.23      -40.35      136.60      0.3162       -0.77
  106      -46.52      -40.63      135.13      0.3082       -0.88
  107      -46.86      -40.97      133.62      0.2989       -1.11
  108      -47.24      -41.35      132.08      0.2884       -1.39
  109      -47.68      -41.79      130.48      0.2765       -1.63
  110      -48.19      -42.29      128.82      0.2629       -1.83
  111      -48.76      -42.87      127.08      0.2474       -2.06
  112      -49.43      -43.55      125.24      0.2298       -2.41
  113      -50.22      -44.34      123.26      0.2093       -2.92
  114      -51.16      -45.30      121.10      0.1851       -3.51
  115      -52.34      -46.51      118.65      0.1556       -4.01
  116      -53.92      -48.16      115.67      0.1169       -4.33
  117      -56.73      -51.12      111.08      0.0517       -4.56
  118      -52.82      -47.01      184.58      0.1077       -6.56
  119      -50.95      -45.08      181.16      0.1546       -6.70
  120      -49.61      -43.72      178.49      0.1890       -6.26
  121      -48.55      -42.66      176.19      0.2169       -5.68
  122      -47.67      -41.78      174.12      0.2404       -5.14
  123      -46.92      -41.03      172.21      0.2609       -4.57
  124      -46.27      -40.38      170.42      0.2788       -3.96
  125      -45.69      -39.82      168.73      0.2948       -3.54
  126      -45.19      -39.32      167.10      0.3090       -3.53
  127      -44.74      -38.88      165.54      0.3216       -3.84
  128      -44.34      -38.49      164.03      0.3330       -4.05
  129      -43.98      -38.14      162.55      0.3431       -3.75
  130      -43.67      -37.84      161.11      0.3521       -2.91
  131      -43.40      -37.57      159.70      0.3600       -1.85
  132      -43.15      -37.34      158.32      0.3670       -0.99
  133      -42.95      -37.14      156.95      0.3731       -0.49
  134      -42.77      -36.97      155.61      0.3782       -0.27
  135      -42.62      -36.82      154.27      0.3826       -0.16
  136      -42.50      -36.71      152.95      0.3861       -0.05
  137      -42.41      -36.62      151.63      0.3888        0.05
  138      -42.34      -36.56      150.33      0.3907        0.12
  139      -42.30      -36.52      149.02      0.3918        0.16
  140      -42.29      -36.51      147.72      0.3922        0.18
  141      -42.30      -36.52      146.42      0.3918        0.18
  142      -42.34      -36.56      145.12      0.3907        0.12
  143      -42.41      -36.62      143.81      0.3887       -0.01
  144      -42.50      -36.71      142.50      0.3860       -0.13
  145      -42.62      -36.83      141.17      0.3825       -0.16
  146      -42.77      -36.97      139.84      0.3781       -0.06
  147      -42.95      -37.14      138.49      0.3730        0.08
  148      -43.16      -37.34      137.13      0.3669        0.12
  149      -43.40      -37.58      135.74      0.3599        0.03
  150      -43.68      -37.85      134.33      0.3519       -0.19
  151      -43.99      -38.15      132.89      0.3429       -0.48
  152      -44.35      -38.50      131.42      0.3328       -0.81
  153      -44.75      -38.89      129.90      0.3214       -1.18
  154      -45.20      -39.33      128.34      0.3087       -1.59
  155      -45.70      -39.83      126.71      0.2945       -2.06
  156      -46.28      -40.39      125.02      0.2785       -2.57
  157      -46.93      -41.04      123.23      0.2605       -3.02
  158      -47.69      -41.79      121.32      0.2400       -3.37
  159      -48.57      -42.68      119.24      0.2163       -3.68
  160      -49.63      -43.75      116.94      0.1884       -4.02
  161      -50.98      -45.11      114.25      0.1538       -4.28
  162      -52.87      -47.06      110.81      0.1065       -4.24
  163      -53.34      -47.55      191.30      0.0591       -1.52
  164      -50.41      -44.53      186.27      0.1322       -2.56
  165      -48.72      -42.82      183.08      0.1762       -3.12
  166      -47.45      -41.56      180.49      0.2101       -3.02
  167      -46.42      -40.53      178.24      0.2382       -2.47
  168      -45.55      -39.68      176.20      0.2623       -1.92
  169      -44.80      -38.94      174.32      0.2834       -1.53
  170      -44.14      -38.30      172.55      0.3021       -1.22
  171      -43.56      -37.73      170.87      0.3188       -0.90
  172      -43.03      -37.22      169.26      0.3339       -0.66
  173      -42.57      -36.77      167.71      0.3475       -0.63
  174      -42.15      -36.37      166.21      0.3598       -0.75
  175      -41.77      -36.01      164.76      0.3708       -0.76
  176      -41.43      -35.68      163.34      0.3808       -0.36
  177      -41.13      -35.39      161.95      0.3898        0.50
  178      -40.86      -35.14      160.58      0.3978        1.56
  179      -40.62      -34.91      159.24      0.4050        2.41
  180      -40.41      -34.71      157.92      0.4113        2.76
  181      -40.23      -34.54      156.61      0.4167        2.63
  182      -40.07      -34.39      155.32      0.4214        2.27
  183      -39.94      -34.27      154.04      0.4254        1.94
  184      -39.84      -34.17      152.76      0.4285        1.74
  185      -39.75      -34.09      151.50      0.4310        1.65
  186      -39.70      -34.04      150.24      0.4328        1.68
  187      -39.66      -34.00      148.98      0.4338        1.79
  188      -39.65      -33.99      147.72      0.4341        1.94
  189      -39.66      -34.00      146.47      0.4338        2.03
  190      -39.70      -34.04      145.21      0.4327        2.03
  191      -39.76      -34.09      143.95      0.4310        2.02
  192      -39.84      -34.17      142.68      0.4285        2.12
  193      -39.94      -34.27      141.41      0.4253        2.41
  194      -40.07      -34.39      140.13      0.4213        2.83
  195      -40.23      -34.54      138.83      0.4166        3.21
  196      -40.41      -34.72      137.53      0.4112        3.42
  197      -40.62      -34.92      136.20      0.4048        3.41
  198      -40.86      -35.14      134.86      0.3977        3.16
  199      -41.13      -35.40      133.50      0.3896        2.72
  200      -41.44      -35.69      132.11      0.3806        2.21
  201      -41.78      -36.01      130.69      0.3706        1.75
  202      -42.15      -36.38      129.23      0.3595        1.42
  203      -42.58      -36.78      127.73      0.3472        1.21
  204      -43.04      -37.23      126.18      0.3336        1.08
  205      -43.57      -37.74      124.57      0.3185        0.94
  206      -44.15      -38.31      122.89      0.3017        0.70
  207      -44.82      -38.95      121.12      0.2830        0.29
  208      -45.57      -39.69      119.23      0.2618       -0.17
  209      -46.44      -40.55      117.19      0.2376       -0.44
  210      -47.47      -41.58      114.93      0.2095       -0.33
  211      -48.75      -42.85      112.34      0.1755        0.14
  212      -50.45      -44.57      109.13      0.1312        0.82
  213      -53.44      -47.66      104.01      0.0567        1.58
  214      -51.35      -45.50      193.30      0.0722        1.58
  215      -48.60      -42.71      188.47      0.1430        1.26
  216      -46.93      -41.04      185.29      0.1878        0.99
  217      -45.66      -39.79      182.70      0.2228        0.95
  218      -44.62      -38.76      180.43      0.2519        1.21
  219      -43.74      -37.90      178.39      0.2771        1.60
  220      -42.96      -37.16      176.49      0.2993        1.86
  221      -42.28      -36.50      174.72      0.3191        1.89
  222      -41.68      -35.92      173.04      0.3369        1.82
  223      -41.13      -35.40      171.43      0.3530        1.76
  224      -40.64      -34.93      169.89      0.3676        1.70
  225      -40.20      -34.51      168.40      0.3809        1.59
  226      -39.80      -34.13      166.95      0.3930        1.46
  227      -39.43      -33.79      165.54      0.4040        1.47
  228      -39.10      -33.48      164.16      0.4140        1.79
  229      -38.80      -33.20      162.80      0.4231        2.46
  230      -38.54      -32.95      161.47      0.4312        3.34
  231      -38.30      -32.72      160.17      0.4386        4.06
  232      -38.08      -32.52      158.88      0.4451        4.30
  233      -37.90      -32.35      157.60      0.4509        3.96
  234      -37.73      -32.20      156.34      0.4560        3.31
  235      -37.59      -32.06      155.09      0.4603        2.67
  236      -37.48      -31.96      153.85      0.4639        2.22
