# IDX        LATG        LATC        LONW          MU          TB
    0      -63.44      -58.44       85.53      0.0279        7.19
    1      -62.50      -57.39       84.13      0.0458        7.40
    2      -61.91      -56.74       82.91      0.0571        7.59
    3      -61.49      -56.28       81.77      0.0654        7.58
    4      -61.18      -55.93       80.68      0.0717        7.52
    5      -60.94      -55.67       79.62      0.0764        7.51
    6      -60.77      -55.48       78.58      0.0800        7.54
    7      -60.65      -55.35       77.55      0.0824        7.72
    8      -60.58      -55.28       76.54      0.0838        8.09
    9      -60.56      -55.25       75.53      0.0842        8.53
   10      -60.58      -55.28       74.52      0.0838        8.80
   11      -60.65      -55.36       73.50      0.0823        8.86
   12      -60.77      -55.49       72.48      0.0799        8.84
   13      -60.95      -55.68       71.44      0.0764        8.81
   14      -61.18      -55.94       70.37      0.0716        8.73
   15      -61.50      -56.29       69.28      0.0653        8.68
   16      -61.92      -56.75       68.14      0.0570        8.86
   17      -62.51      -57.40       66.91      0.0455        9.27
   18      -63.47      -58.47       65.52      0.0274        9.47
   19      -61.30      -56.06       93.37      0.0504       12.03
   20      -60.25      -54.92       91.76      0.0716       12.05
   21      -59.51      -54.11       90.40      0.0870       11.75
   22      -58.93      -53.48       89.16      0.0993       11.36
   23      -58.46      -52.97       88.01      0.1095       10.76
   24      -58.06      -52.54       86.91      0.1182        9.86
   25      -57.72      -52.17       85.86      0.1257        9.10
   26      -57.42      -51.86       84.84      0.1322        8.95
   27      -57.17      -51.59       83.85      0.1378        9.15
   28      -56.96      -51.36       82.88      0.1426        9.08
   29      -56.77      -51.16       81.92      0.1468        8.66
   30      -56.62      -51.00       80.99      0.1503        8.40
   31      -56.49      -50.86       80.06      0.1532        8.52
   32      -56.39      -50.76       79.14      0.1555        8.89
   33      -56.31      -50.67       78.23      0.1573        9.39
   34      -56.26      -50.61       77.33      0.1585        9.97
   35      -56.22      -50.58       76.43      0.1593       10.44
   36      -56.21      -50.57       75.53      0.1595       10.64
   37      -56.22      -50.58       74.63      0.1593       10.69
   38      -56.26      -50.61       73.73      0.1585       10.76
   39      -56.31      -50.67       72.82      0.1572       10.71
   40      -56.39      -50.76       71.91      0.1555       10.36
   41      -56.49      -50.87       70.99      0.1531        9.91
   42      -56.62      -51.00       70.07      0.1502        9.95
   43      -56.78      -51.17       69.13      0.1467       10.63
   44      -56.96      -51.36       68.18      0.1425       11.27
   45      -57.18      -51.59       67.21      0.1377       11.06
   46      -57.43      -51.86       66.21      0.1321       10.04
   47      -57.72      -52.18       65.20      0.1256        8.92
   48      -58.06      -52.55       64.14      0.1181        8.23
   49      -58.47      -52.98       63.04      0.1093        8.02
   50      -58.94      -53.50       61.89      0.0991        8.03
   51      -59.53      -54.13       60.65      0.0867        7.92
   52      -60.27      -54.94       59.28      0.0712        7.40
   53      -61.33      -56.09       57.67      0.0499        6.53
   54      -60.86      -55.58       99.68      0.0403        8.71
   55      -59.33      -53.92       97.52      0.0718        8.91
   56      -58.37      -52.87       95.91      0.0925        9.30
   57      -57.63      -52.08       94.51      0.1086       10.22
   58      -57.02      -51.43       93.24      0.1221       11.28
   59      -56.51      -50.89       92.06      0.1336       11.90
   60      -56.07      -50.42       90.95      0.1437       12.04
   61      -55.68      -50.01       89.88      0.1527       12.07
   62      -55.34      -49.65       88.86      0.1606       12.00
   63      -55.04      -49.33       87.87      0.1677       11.46
   64      -54.77      -49.04       86.90      0.1741       10.43
   65      -54.53      -48.79       85.96      0.1798        9.63
   66      -54.31      -48.57       85.03      0.1849        9.51
   67      -54.13      -48.37       84.13      0.1894        9.52
   68      -53.96      -48.19       83.23      0.1934        8.97
   69      -53.81      -48.04       82.35      0.1969        8.11
   70      -53.69      -47.91       81.48      0.2000        7.73
   71      -53.58      -47.80       80.61      0.2026        8.08
   72      -53.49      -47.70       79.75      0.2048        8.75
   73      -53.42      -47.63       78.90      0.2066        9.40
   74      -53.36      -47.57       78.06      0.2079        9.92
   75      -53.32      -47.53       77.21      0.2089       10.25
   76      -53.30      -47.50       76.37      0.2095       10.44
   77      -53.29      -47.50       75.53      0.2097       10.77
   78      -53.30      -47.50       74.69      0.2095       11.30
   79      -53.32      -47.53       73.84      0.2089       11.58
   80      -53.36      -47.57       73.00      0.2079       11.19
   81      -53.42      -47.63       72.15      0.2065       10.47
   82      -53.49      -47.71       71.30      0.2048       10.29
   83      -53.58      -47.80       70.44      0.2026       10.96
   84      -53.69      -47.91       69.58      0.1999       11.69
   85      -53.81      -48.04       68.71      0.1969       11.63
   86      -53.96      -48.20       67.82      0.1933       10.87
   87      -54.13      -48.37       66.93      0.1893       10.13
   88      -54.32      -48.57       66.02      0.1848        9.81
   89      -54.53      -48.80       65.10      0.1797        9.77
   90      -54.77      -49.05       64.15      0.1740        9.67
   91      -55.04      -49.33       63.19      0.1676        9.27
   92      -55.35      -49.65       62.19      0.1605        8.52
   93      -55.69      -50.01       61.17      0.1525        7.58
   94      -56.08      -50.42       60.10      0.1436        6.86
   95      -56.52      -50.90       58.99      0.1334        6.66
   96      -57.03      -51.44       57.81      0.1219        6.88
   97      -57.64      -52.09       56.54      0.1084        7.11
   98      -58.38      -52.89       55.14      0.0921        6.92
   99      -59.36      -53.94       53.51      0.0713        6.22
  100      -60.91      -55.63       51.34      0.0394        5.31
  101      -58.98      -53.53      102.60      0.0604        5.34
  102      -57.68      -52.13      100.58      0.0886        6.04
  103      -56.76      -51.14       98.96      0.1091        6.76
  104      -56.02      -50.37       97.55      0.1258        7.12
  105      -55.41      -49.72       96.27      0.1399        7.22
  106      -54.88      -49.16       95.08      0.1523        7.64
  107      -54.42      -48.67       93.95      0.1633        8.56
  108      -54.01      -48.24       92.88      0.1731        9.45
  109      -53.64      -47.86       91.85      0.1820        9.87
  110      -53.31      -47.52       90.85      0.1901       10.11
  111      -53.01      -47.20       89.89      0.1974       10.51
  112      -52.74      -46.92       88.95      0.2041       10.83
  113      -52.49      -46.67       88.03      0.2102       10.48
  114      -52.27      -46.44       87.13      0.2157        9.61
  115      -52.07      -46.23       86.24      0.2208        9.03
  116      -51.88      -46.04       85.37      0.2253        9.02
  117      -51.72      -45.87       84.52      0.2295        8.82
  118      -51.57      -45.72       83.67      0.2332        7.92
  119      -51.44      -45.59       82.83      0.2365        6.92
  120      -51.33      -45.47       82.00      0.2394        6.70
  121      -51.23      -45.37       81.18      0.2420        7.26
  122      -51.14      -45.28       80.36      0.2442        7.97
  123      -51.07      -45.21       79.55      0.2460        8.35
  124      -51.01      -45.15       78.74      0.2475        8.41
  125      -50.96      -45.10       77.93      0.2486        8.36
  126      -50.93      -45.07       77.13      0.2495        8.51
  127      -50.91      -45.05       76.33      0.2500        9.14
  128      -50.91      -45.04       75.53      0.2501       10.14
  129      -50.91      -45.05       74.73      0.2500       10.80
  130      -50.93      -45.07       73.93      0.2495       10.56
  131      -50.97      -45.10       73.12      0.2486        9.78
  132      -51.01      -45.15       72.32      0.2475        9.44
  133      -51.07      -45.21       71.51      0.2460        9.86
  134      -51.14      -45.28       70.70      0.2441       10.37
  135      -51.23      -45.37       69.88      0.2419       10.30
  136      -51.33      -45.47       69.06      0.2394        9.84
  137      -51.44      -45.59       68.23      0.2364        9.64
  138      -51.58      -45.73       67.39      0.2331        9.79
  139      -51.72      -45.88       66.54      0.2294        9.90
  140      -51.89      -46.05       65.68      0.2253        9.60
  141      -52.07      -46.23       64.81      0.2207        8.94
  142      -52.27      -46.44       63.93      0.2156        8.12
  143      -52.50      -46.67       63.03      0.2101        7.28
  144      -52.74      -46.93       62.11      0.2040        6.64
  145      -53.01      -47.21       61.17      0.1973        6.45
  146      -53.31      -47.52       60.20      0.1899        6.70
  147      -53.65      -47.87       59.20      0.1818        7.05
  148      -54.01      -48.25       58.17      0.1729        7.09
  149      -54.43      -48.68       57.10      0.1631        6.67
  150      -54.89      -49.17       55.97      0.1521        6.03
  151      -55.42      -49.73       54.78      0.1397        5.54
  152      -56.04      -50.38       53.50      0.1254        5.34
  153      -56.77      -51.16       52.08      0.1087        5.39
  154      -57.70      -52.15       50.46      0.0881        5.38
  155      -59.01      -53.57       48.42      0.0597        4.96
  156      -58.36      -52.87      106.46      0.0546        2.63
  157      -56.83      -51.22      104.09      0.0884        2.81
  158      -55.79      -50.12      102.31      0.1119        2.85
  159      -54.99      -49.27      100.80      0.1308        2.98
  160      -54.31      -48.56       99.44      0.1467        3.41
  161      -53.73      -47.96       98.19      0.1606        3.94
  162      -53.22      -47.43       97.02      0.1730        4.30
  163      -52.77      -46.96       95.91      0.1841        4.56
  164      -52.36      -46.53       94.86      0.1942        5.08
  165      -51.99      -46.15       93.84      0.2035        5.85
  166      -51.65      -45.81       92.86      0.2119        6.42
  167      -51.35      -45.49       91.90      0.2197        6.65
  168      -51.07      -45.20       90.97      0.2268        6.94
  169      -50.81      -44.94       90.07      0.2334        7.57
  170      -50.57      -44.70       89.18      0.2395        8.11
  171      -50.36      -44.48       88.31      0.2451        8.04
  172      -50.16      -44.28       87.45      0.2502        7.56
  173      -49.98      -44.09       86.61      0.2550        7.37
  174      -49.81      -43.93       85.77      0.2593        7.52
  175      -49.66      -43.77       84.95      0.2632        7.30
  176      -49.52      -43.63       84.14      0.2668        6.46
  177      -49.40      -43.51       83.33      0.2700        5.74
  178      -49.29      -43.40       82.53      0.2729        5.85
  179      -49.19      -43.30       81.74      0.2755        6.51
  180      -49.11      -43.22       80.95      0.2777        6.96
  181      -49.04      -43.14       80.17      0.2797        6.80
  182      -48.97      -43.08       79.39      0.2813        6.25
  183      -48.92      -43.03       78.61      0.2826        5.76
  184      -48.89      -42.99       77.84      0.2836        5.72
  185      -48.86      -42.96       77.07      0.2844        6.33
  186      -48.84      -42.95       76.30      0.2848        7.37
  187      -48.84      -42.94       75.53      0.2849        8.13
  188      -48.84      -42.95       74.76      0.2848        8.07
  189      -48.86      -42.97       73.99      0.2844        7.47
  190      -48.89      -42.99       73.22      0.2836        7.12
  191      -48.93      -43.03       72.44      0.2826        7.29
  192      -48.98      -43.08       71.67      0.2813        7.52
  193      -49.04      -43.14       70.89      0.2796        7.43
  194      -49.11      -43.22       70.10      0.2777        7.30
  195      -49.19      -43.30       69.32      0.2755        7.55
  196      -49.29      -43.40       68.52      0.2729        8.06
  197      -49.40      -43.51       67.73      0.2700        8.33
  198      -49.52      -43.64       66.92      0.2667        8.16
  199      -49.66      -43.78       66.11      0.2632        7.80
  200      -49.81      -43.93       65.28      0.2592        7.42
  201      -49.98      -44.10       64.45      0.2549        6.88
  202      -50.16      -44.28       63.61      0.2501        6.16
  203      -50.36      -44.48       62.75      0.2450        5.58
  204      -50.58      -44.71       61.88      0.2394        5.39
  205      -50.81      -44.95       60.99      0.2333        5.50
  206      -51.07      -45.21       60.08      0.2267        5.58
  207      -51.35      -45.50       59.15      0.2195        5.42
  208      -51.66      -45.81       58.20      0.2117        5.13
