# IDX        LATG        LATC        LONW          MU          TB
    0      -63.44      -58.44       85.53      0.0279       77.24
    1      -62.50      -57.39       84.13      0.0458       83.58
    2      -61.91      -56.74       82.91      0.0571       87.62
    3      -61.49      -56.28       81.77      0.0654       89.44
    4      -61.18      -55.93       80.68      0.0717       90.00
    5      -60.94      -55.67       79.62      0.0764       90.17
    6      -60.77      -55.48       78.58      0.0800       90.42
    7      -60.65      -55.35       77.55      0.0824       90.91
    8      -60.58      -55.28       76.54      0.0838       91.52
    9      -60.56      -55.25       75.53      0.0842       92.06
   10      -60.58      -55.28       74.52      0.0838       92.34
   11      -60.65      -55.36       73.50      0.0823       92.37
   12      -60.77      -55.49       72.48      0.0799       92.16
   13      -60.95      -55.68       71.44      0.0764       91.77
   14      -61.18      -55.94       70.37      0.0716       91.22
   15      -61.50      -56.29       69.28      0.0653       90.34
   16      -61.92      -56.75       68.14      0.0570       88.60
   17      -62.51      -57.40       66.91      0.0455       85.04
   18      -63.47      -58.47       65.52      0.0274       79.03
   19      -61.30      -56.06       93.37      0.0504       82.79
   20      -60.25      -54.92       91.76      0.0716       89.07
   21      -59.51      -54.11       90.40      0.0870       92.54
   22      -58.93      -53.48       89.16      0.0993       94.04
   23      -58.46      -52.97       88.01      0.1095       95.19
   24      -58.06      -52.54       86.91      0.1182       97.65
   25      -57.72      -52.17       85.86      0.1257      102.32
   26      -57.42      -51.86       84.84      0.1322      108.33
   27      -57.17      -51.59       83.85      0.1378      113.56
   28      -56.96      -51.36       82.88      0.1426      116.61
   29      -56.77      -51.16       81.92      0.1468      117.78
   30      -56.62      -51.00       80.99      0.1503      118.15
   31      -56.49      -50.86       80.06      0.1532      118.52
   32      -56.39      -50.76       79.14      0.1555      119.12
   33      -56.31      -50.67       78.23      0.1573      119.88
   34      -56.26      -50.61       77.33      0.1585      120.64
   35      -56.22      -50.58       76.43      0.1593      121.19
   36      -56.21      -50.57       75.53      0.1595      121.46
   37      -56.22      -50.58       74.63      0.1593      121.50
   38      -56.26      -50.61       73.73      0.1585      121.37
   39      -56.31      -50.67       72.82      0.1572      121.02
   40      -56.39      -50.76       71.91      0.1555      120.32
   41      -56.49      -50.87       70.99      0.1531      119.20
   42      -56.62      -51.00       70.07      0.1502      117.51
   43      -56.78      -51.17       69.13      0.1467      114.65
   44      -56.96      -51.36       68.18      0.1425      109.93
   45      -57.18      -51.59       67.21      0.1377      103.79
   46      -57.43      -51.86       66.21      0.1321       97.98
   47      -57.72      -52.18       65.20      0.1256       94.06
   48      -58.06      -52.55       64.14      0.1181       92.22
   49      -58.47      -52.98       63.04      0.1093       91.57
   50      -58.94      -53.50       61.89      0.0991       90.95
   51      -59.53      -54.13       60.65      0.0867       89.00
   52      -60.27      -54.94       59.28      0.0712       84.47
   53      -61.33      -56.09       57.67      0.0499       77.29
   54      -60.86      -55.58       99.68      0.0403       78.98
   55      -59.33      -53.92       97.52      0.0718       86.65
   56      -58.37      -52.87       95.91      0.0925       92.47
   57      -57.63      -52.08       94.51      0.1086       98.12
   58      -57.02      -51.43       93.24      0.1221      104.81
   59      -56.51      -50.89       92.06      0.1336      111.77
   60      -56.07      -50.42       90.95      0.1437      117.28
   61      -55.68      -50.01       89.88      0.1527      120.45
   62      -55.34      -49.65       88.86      0.1606      121.74
   63      -55.04      -49.33       87.87      0.1677      122.34
   64      -54.77      -49.04       86.90      0.1741      123.62
   65      -54.53      -48.79       85.96      0.1798      126.38
   66      -54.31      -48.57       85.03      0.1849      129.97
   67      -54.13      -48.37       84.13      0.1894      132.82
   68      -53.96      -48.19       83.23      0.1934      134.05
   69      -53.81      -48.04       82.35      0.1969      134.25
   70      -53.69      -47.91       81.48      0.2000      134.44
   71      -53.58      -47.80       80.61      0.2026      135.08
   72      -53.49      -47.70       79.75      0.2048      135.97
   73      -53.42      -47.63       78.90      0.2066      136.79
   74      -53.36      -47.57       78.06      0.2079      137.42
   75      -53.32      -47.53       77.21      0.2089      137.85
   76      -53.30      -47.50       76.37      0.2095      138.15
   77      -53.29      -47.50       75.53      0.2097      138.46
   78      -53.30      -47.50       74.69      0.2095      138.78
   79      -53.32      -47.53       73.84      0.2089      138.90
   80      -53.36      -47.57       73.00      0.2079      138.46
   81      -53.42      -47.63       72.15      0.2065      137.43
   82      -53.49      -47.71       71.30      0.2048      136.09
   83      -53.58      -47.80       70.44      0.2026      134.38
   84      -53.69      -47.91       69.58      0.1999      131.74
   85      -53.81      -48.04       68.71      0.1969      128.11
   86      -53.96      -48.20       67.82      0.1933      124.45
   87      -54.13      -48.37       66.93      0.1893      121.93
   88      -54.32      -48.57       66.02      0.1848      120.83
   89      -54.53      -48.80       65.10      0.1797      120.50
   90      -54.77      -49.05       64.15      0.1740      119.92
   91      -55.04      -49.33       63.19      0.1676      118.02
   92      -55.35      -49.65       62.19      0.1605      113.85
   93      -55.69      -50.01       61.17      0.1525      107.50
   94      -56.08      -50.42       60.10      0.1436      100.59
   95      -56.52      -50.90       58.99      0.1334       95.15
   96      -57.03      -51.44       57.81      0.1219       91.87
   97      -57.64      -52.09       56.54      0.1084       89.77
   98      -58.38      -52.89       55.14      0.0921       87.10
   99      -59.36      -53.94       53.51      0.0713       82.36
