# IDX        LATG        LATC        LONW          MU          TB
    0      -83.38      -81.89      272.39      0.0854      138.89
    1      -83.65      -82.21      243.24      0.1173      144.68
    2      -83.72      -82.30      218.07      0.1256      145.12
    3      -83.63      -82.19      192.74      0.1154      141.38
    4      -83.34      -81.83      162.68      0.0800      134.52
    5      -71.18      -67.28      281.02      0.1682      143.76
    6      -71.37      -67.49      266.99      0.2305      165.62
    7      -71.49      -67.64      255.73      0.2709      181.39
    8      -71.57      -67.73      245.75      0.2984      191.93
    9      -71.63      -67.80      236.47      0.3166      198.59
   10      -71.66      -67.83      227.59      0.3268      202.29
   11      -71.67      -67.85      218.87      0.3299      203.16
   12      -71.66      -67.83      210.14      0.3261      200.87
   13      -71.62      -67.79      201.23      0.3151      195.04
   14      -71.57      -67.73      191.90      0.2961      185.43
   15      -71.48      -67.62      181.83      0.2675      172.04
   16      -71.35      -67.48      170.38      0.2255      155.17
   17      -71.16      -67.25      155.88      0.1599      135.57
   18      -63.64      -58.66      295.80      0.1182      123.07
   19      -63.89      -58.94      279.88      0.2308      155.23
   20      -64.04      -59.10      269.24      0.2964      181.50
   21      -64.14      -59.22      260.42      0.3432      199.73
   22      -64.22      -59.31      252.57      0.3783      210.28
   23      -64.28      -59.38      245.32      0.4046      215.51
   24      -64.33      -59.42      238.45      0.4239      218.55
   25      -64.35      -59.46      231.84      0.4371      221.66
   26      -64.37      -59.48      225.38      0.4447      225.09
   27      -64.38      -59.48      218.98      0.4471      227.45
   28      -64.37      -59.48      212.59      0.4442      227.09
   29      -64.35      -59.46      206.11      0.4361      223.36
   30      -64.32      -59.42      199.48      0.4223      216.49
   31      -64.28      -59.37      192.58      0.4023      206.80
   32      -64.22      -59.30      185.29      0.3752      194.27
   33      -64.13      -59.21      177.36      0.3391      178.92
   34      -64.03      -59.09      168.41      0.2909      161.25
   35      -63.88      -58.92      157.49      0.2226      142.22
   36      -63.60      -58.62      140.25      0.0990      122.47
   37      -57.57      -52.02      303.32      0.0697      112.96
   38      -57.88      -52.34      284.93      0.2332      146.61
   39      -58.03      -52.51      274.65      0.3148      175.48
   40      -58.14      -52.63      266.43      0.3730      197.68
   41      -58.22      -52.72      259.25      0.4175      212.79
   42      -58.29      -52.79      252.72      0.4526      221.10
   43      -58.34      -52.84      246.61      0.4802      223.86
   44      -58.38      -52.89      240.80      0.5016      223.66
   45      -58.41      -52.92      235.20      0.5176      223.71
   46      -58.43      -52.94      229.74      0.5287      225.93
   47      -58.44      -52.96      224.37      0.5351      229.69
   48      -58.45      -52.96      219.04      0.5371      232.64
   49      -58.44      -52.96      213.70      0.5347      232.94
   50      -58.43      -52.94      208.33      0.5278      230.41
   51      -58.41      -52.92      202.85      0.5162      226.01
   52      -58.38      -52.88      197.24      0.4997      220.56
   53      -58.34      -52.84      191.40      0.4777      214.13
   54      -58.28      -52.78      185.26      0.4494      206.18
   55      -58.21      -52.71      178.67      0.4136      195.92
   56      -58.13      -52.62      171.41      0.3679      182.40
   57      -58.02      -52.49      163.05      0.3080      164.60
   58      -57.86      -52.32      152.44      0.2228      141.65
   59      -52.49      -46.67      293.97      0.1739      125.34
   60      -52.69      -46.87      281.85      0.2924      157.11
   61      -52.82      -47.01      273.26      0.3686      181.95
   62      -52.91      -47.11      266.09      0.4259      200.37
   63      -52.99      -47.19      259.72      0.4712      214.18
   64      -53.05      -47.25      253.89      0.5079      224.02
   65      -53.10      -47.30      248.41      0.5376      229.30
   66      -53.14      -47.34      243.20      0.5614      230.19
   67      -53.17      -47.38      238.17      0.5802      228.75
   68      -53.20      -47.40      233.29      0.5943      227.89
   69      -53.21      -47.42      228.50      0.6041      229.13
   70      -53.22      -47.43      223.77      0.6099      231.61
   71      -53.23      -47.43      219.07      0.6116      233.32
   72      -53.22      -47.43      214.37      0.6095      233.00
   73      -53.21      -47.42      209.63      0.6033      230.94
   74      -53.19      -47.40      204.84      0.5931      228.31
   75      -53.17      -47.37      199.94      0.5785      226.05
   76      -53.14      -47.34      194.90      0.5593      224.21
   77      -53.10      -47.30      189.66      0.5349      221.94
   78      -53.04      -47.24      184.16      0.5045      217.77
   79      -52.98      -47.18      178.27      0.4671      209.92
   80      -52.90      -47.10      171.85      0.4208      196.45
   81      -52.81      -46.99      164.57      0.3620      175.77
   82      -52.67      -46.86      155.77      0.2832      147.82
   83      -52.46      -46.64      142.92      0.1564      115.08
   84      -47.73      -41.83      291.88      0.2134      129.53
   85      -47.90      -42.00      281.33      0.3266      161.44
   86      -48.02      -42.12      273.49      0.4035      184.85
   87      -48.11      -42.21      266.87      0.4626      201.04
   88      -48.18      -42.29      260.97      0.5102      213.33
   89      -48.24      -42.35      255.54      0.5493      223.55
   90      -48.29      -42.40      250.45      0.5815      231.14
   91      -48.33      -42.44      245.61      0.6081      234.88
   92      -48.37      -42.47      240.95      0.6296      234.97
   93      -48.39      -42.50      236.43      0.6467      233.36
   94      -48.41      -42.52      232.01      0.6596      232.36
   95      -48.43      -42.53      227.67      0.6686      232.93
   96      -48.44      -42.54      223.37      0.6739      234.33
   97      -48.44      -42.54      219.09      0.6755      235.09
   98      -48.44      -42.54      214.81      0.6735      234.41
   99      -48.43      -42.53      210.51      0.6679      232.56
  100      -48.41      -42.52      206.16      0.6585      230.46
  101      -48.39      -42.50      201.73      0.6451      229.01
  102      -48.36      -42.47      197.20      0.6277      228.44
  103      -48.33      -42.43      192.53      0.6056      228.22
  104      -48.29      -42.39      187.66      0.5786      227.07
  105      -48.24      -42.34      182.54      0.5457      223.21
  106      -48.18      -42.28      177.08      0.5059      214.72
  107      -48.10      -42.20      171.12      0.4573      200.09
  108      -48.01      -42.11      164.40      0.3967      178.71
  109      -47.89      -41.99      156.39      0.3174      151.38
  110      -47.70      -41.81      145.34      0.1979      120.12
  111      -43.21      -37.40      292.32      0.2240      127.88
  112      -43.39      -37.56      282.18      0.3425      161.85
  113      -43.50      -37.68      274.66      0.4235      187.37
  114      -43.59      -37.76      268.32      0.4862      204.61
  115      -43.67      -37.83      262.67      0.5370      216.29
  116      -43.73      -37.89      257.49      0.5792      224.85
  117      -43.78      -37.94      252.64      0.6144      231.08
  118      -43.82      -37.98      248.04      0.6439      234.65
  119      -43.86      -38.02      243.62      0.6683      235.37
  120      -43.89      -38.05      239.35      0.6883      234.10
  121      -43.91      -38.07      235.18      0.7042      232.61
  122      -43.93      -38.09      231.10      0.7162      232.47
  123      -43.94      -38.10      227.07      0.7247      233.96
  124      -43.95      -38.11      223.08      0.7297      235.96
