# IDX        LATG        LATC        LONW          MU          TB
    0      -65.92      -61.22      347.45      0.0157        0.83
    1      -65.06      -60.25      346.02      0.0316        0.80
    2      -64.62      -59.76      344.74      0.0398        0.79
    3      -64.36      -59.47      343.52      0.0447        0.76
    4      -64.22      -59.31      342.32      0.0475        0.72
    5      -64.18      -59.26      341.14      0.0484        0.70
    6      -64.22      -59.31      339.96      0.0475        0.72
    7      -64.36      -59.47      338.76      0.0447        0.75
    8      -64.62      -59.76      337.54      0.0398        0.76
    9      -65.06      -60.25      336.26      0.0316        0.76
   10      -65.92      -61.22      334.84      0.0157        0.81
   11      -63.23      -58.20      358.58      0.0458        1.66
   12      -62.17      -57.02      356.82      0.0674        1.69
   13      -61.43      -56.21      355.34      0.0826        1.57
   14      -60.87      -55.59      354.01      0.0946        1.45
   15      -60.42      -55.10      352.76      0.1044        1.50
   16      -60.04      -54.68      351.57      0.1127        1.70
   17      -59.72      -54.34      350.44      0.1197        1.89
   18      -59.46      -54.05      349.33      0.1256        1.92
   19      -59.23      -53.81      348.26      0.1306        1.81
   20      -59.05      -53.61      347.21      0.1348        1.68
   21      -58.89      -53.44      346.17      0.1383        1.61
   22      -58.77      -53.31      345.15      0.1410        1.54
   23      -58.68      -53.21      344.14      0.1432        1.41
   24      -58.61      -53.14      343.14      0.1446        1.25
   25      -58.57      -53.10      342.14      0.1455        1.14
   26      -58.56      -53.08      341.14      0.1458        1.12
   27      -58.57      -53.10      340.14      0.1455        1.13
   28      -58.61      -53.14      339.15      0.1446        1.14
   29      -58.68      -53.21      338.14      0.1432        1.18
   30      -58.77      -53.31      337.13      0.1410        1.32
   31      -58.89      -53.44      336.11      0.1383        1.53
   32      -59.05      -53.61      335.08      0.1348        1.69
   33      -59.23      -53.81      334.02      0.1306        1.71
   34      -59.46      -54.05      332.95      0.1256        1.65
   35      -59.72      -54.34      331.85      0.1197        1.66
   36      -60.04      -54.68      330.71      0.1127        1.78
   37      -60.42      -55.10      329.52      0.1044        1.92
   38      -60.87      -55.59      328.28      0.0946        1.92
   39      -61.43      -56.21      326.94      0.0826        1.78
   40      -62.17      -57.02      325.46      0.0674        1.65
   41      -63.23      -58.20      323.70      0.0458        1.64
   42      -62.03      -56.87        4.94      0.0491        2.67
   43      -60.72      -55.43        2.82      0.0767        2.45
   44      -59.83      -54.46        1.14      0.0959        2.25
   45      -59.15      -53.72      359.68      0.1112        2.28
   46      -58.59      -53.11      358.34      0.1240        2.55
   47      -58.11      -52.60      357.09      0.1349        2.83
   48      -57.70      -52.15      355.91      0.1445        2.86
   49      -57.34      -51.77      354.77      0.1529        2.62
   50      -57.03      -51.43      353.68      0.1603        2.35
   51      -56.75      -51.14      352.62      0.1669        2.32
   52      -56.51      -50.88      351.59      0.1728        2.57
   53      -56.29      -50.65      350.58      0.1780        2.87
   54      -56.10      -50.45      349.59      0.1826        2.98
   55      -55.94      -50.28      348.61      0.1866        2.86
   56      -55.80      -50.13      347.65      0.1901        2.70
   57      -55.68      -50.00      346.70      0.1930        2.60
   58      -55.58      -49.89      345.76      0.1955        2.50
   59      -55.49      -49.81      344.83      0.1975        2.29
   60      -55.43      -49.74      343.90      0.1990        2.01
   61      -55.39      -49.69      342.98      0.2001        1.79
   62      -55.36      -49.67      342.06      0.2008        1.71
   63      -55.35      -49.66      341.14      0.2010        1.69
   64      -55.36      -49.67      340.22      0.2008        1.68
   65      -55.39      -49.69      339.30      0.2001        1.72
   66      -55.43      -49.74      338.38      0.1990        1.91
   67      -55.49      -49.81      337.45      0.1975        2.22
   68      -55.58      -49.89      336.52      0.1955        2.44
   69      -55.68      -50.00      335.58      0.1930        2.44
   70      -55.80      -50.13      334.63      0.1901        2.31
   71      -55.94      -50.28      333.67      0.1866        2.32
   72      -56.10      -50.45      332.69      0.1826        2.56
   73      -56.29      -50.65      331.70      0.1780        2.87
   74      -56.51      -50.88      330.69      0.1728        2.98
   75      -56.75      -51.14      329.66      0.1669        2.86
   76      -57.03      -51.43      328.60      0.1603        2.69
   77      -57.34      -51.77      327.51      0.1529        2.66
   78      -57.70      -52.15      326.38      0.1445        2.72
   79      -58.11      -52.60      325.19      0.1349        2.64
   80      -58.59      -53.11      323.94      0.1240        2.33
   81      -59.15      -53.72      322.60      0.1112        1.97
   82      -59.83      -54.46      321.14      0.0959        1.79
   83      -60.72      -55.43      319.46      0.0767        1.80
   84      -62.03      -56.87      317.34      0.0491        1.82
   85      -61.91      -56.74       11.00      0.0302        4.07
   86      -59.94      -54.57        7.98      0.0724        4.05
   87      -58.83      -53.37        5.99      0.0971        4.14
   88      -58.01      -52.48        4.34      0.1160        4.30
   89      -57.34      -51.77        2.88      0.1316        4.27
   90      -56.77      -51.16        1.53      0.1451        3.89
   91      -56.28      -50.64        0.28      0.1568        3.37
   92      -55.85      -50.19      359.10      0.1673        3.08
   93      -55.47      -49.78      357.96      0.1766        3.15
   94      -55.13      -49.42      356.87      0.1851        3.34
   95      -54.83      -49.10      355.82      0.1927        3.33
   96      -54.55      -48.81      354.80      0.1996        3.03
   97      -54.30      -48.55      353.80      0.2059        2.66
   98      -54.08      -48.32      352.82      0.2115        2.57
   99      -53.88      -48.11      351.86      0.2166        2.81
  100      -53.70      -47.92      350.92      0.2213        3.17
  101      -53.54      -47.76      349.99      0.2254        3.32
  102      -53.40      -47.61      349.08      0.2291        3.23
  103      -53.27      -47.48      348.17      0.2323        3.07
  104      -53.16      -47.36      347.27      0.2351        3.00
  105      -53.07      -47.27      346.38      0.2376        2.93
  106      -52.99      -47.19      345.50      0.2396        2.73
  107      -52.93      -47.12      344.62      0.2412        2.42
  108      -52.88      -47.07      343.75      0.2425        2.13
  109      -52.84      -47.03      342.88      0.2434        1.97
  110      -52.82      -47.01      342.01      0.2440        1.88
  111      -52.82      -47.01      341.14      0.2441        1.80
  112      -52.82      -47.01      340.27      0.2440        1.79
  113      -52.84      -47.03      339.40      0.2434        1.94
  114      -52.88      -47.07      338.53      0.2425        2.25
  115      -52.93      -47.12      337.66      0.2412        2.51
  116      -52.99      -47.19      336.78      0.2396        2.54
  117      -53.07      -47.27      335.90      0.2376        2.43
  118      -53.16      -47.36      335.01      0.2351        2.48
  119      -53.27      -47.48      334.11      0.2323        2.80
  120      -53.40      -47.61      333.21      0.2291        3.20
  121      -53.54      -47.76      332.29      0.2254        3.39
  122      -53.70      -47.92      331.36      0.2213        3.29
  123      -53.88      -48.11      330.42      0.2166        3.10
  124      -54.08      -48.32      329.46      0.2115        3.05
  125      -54.30      -48.55      328.48      0.2059        3.10
  126      -54.55      -48.81      327.49      0.1996        2.99
  127      -54.83      -49.10      326.46      0.1927        2.63
  128      -55.13      -49.42      325.41      0.1851        2.24
  129      -55.47      -49.78      324.32      0.1766        2.11
  130      -55.85      -50.19      323.19      0.1673        2.27
  131      -56.28      -50.64      322.00      0.1568        2.46
  132      -56.77      -51.16      320.75      0.1451        2.43
  133      -57.34      -51.77      319.41      0.1316        2.20
  134      -58.01      -52.48      317.94      0.1160        1.99
  135      -58.83      -53.37      316.29      0.0971        1.97
  136      -59.94      -54.57      314.31      0.0724        2.14
  137      -61.91      -56.74      311.28      0.0302        2.38
  138      -61.77      -56.58       16.02      0.0121        4.41
  139      -59.01      -53.56       11.82      0.0718        4.84
  140      -57.77      -52.23        9.60      0.1002        5.23
  141      -56.86      -51.26        7.82      0.1216        5.31
  142      -56.13      -50.48        6.27      0.1392        5.21
  143      -55.51      -49.82        4.87      0.1542        5.18
  144      -54.98      -49.26        3.56      0.1675        5.26
  145      -54.50      -48.76        2.34      0.1793        5.14
  146      -54.08      -48.32        1.18      0.1900        4.58
  147      -53.70      -47.93        0.06      0.1996        3.73
  148      -53.36      -47.57      358.99      0.2085        3.02
  149      -53.05      -47.25      357.96      0.2165        2.69
  150      -52.77      -46.95      356.95      0.2239        2.61
  151      -52.51      -46.69      355.97      0.2307        2.46
  152      -52.27      -46.44      355.01      0.2370        2.13
  153      -52.05      -46.22      354.07      0.2427        1.77
  154      -51.86      -46.02      353.14      0.2479        1.66
  155      -51.68      -45.83      352.23      0.2527        1.86
  156      -51.52      -45.67      351.33      0.2570        2.16
  157      -51.37      -45.52      350.45      0.2610        2.30
  158      -51.24      -45.38      349.57      0.2645        2.24
  159      -51.12      -45.26      348.71      0.2677        2.11
  160      -51.02      -45.15      347.85      0.2705        2.08
  161      -50.93      -45.06      347.00      0.2730        2.09
