# VLA smeared map of saturn, C band, 7.08 - 7.53 cm, 4. - 4.25 GHz
#    LATG1     LATG2        TB       sTB        MU       sMU         N
     -90.0     -61.0     -3.67      1.05      0.16     0.006         7
     -61.0     -55.0     -6.51      1.06      0.26     0.014        13
     -55.0     -51.0     -8.36      0.97      0.31     0.017         8
     -51.0     -50.0     -7.84      0.82      0.35     0.005         9
     -50.0     -47.0     -8.52      1.53      0.38     0.014         9
     -47.0     -46.0     -6.75      0.63      0.41     0.004         9
     -46.0     -44.0     -8.80      2.07      0.41     0.014         7
     -44.0     -43.0     -4.46      1.58      0.46     0.010        14
     -43.0     -41.0     -5.83      0.78      0.46     0.010         5
     -41.0     -40.0     -2.44      1.65      0.49     0.021        10
     -40.0     -39.0     -1.23      0.85      0.51     0.016         5
     -39.0     -37.0     -1.55      1.27      0.53     0.022        23
     -37.0     -35.0     -1.23      0.84      0.54     0.019        11
     -35.0     -34.0     -0.80      0.64      0.59     0.009        15
     -34.0     -32.0     -0.63      0.68      0.59     0.018        13
     -32.0     -31.0     -1.20      0.66      0.62     0.013        12
     -31.0     -30.0      0.34      0.24      0.61     0.012         8
     -30.0     -29.0     -1.49      1.03      0.65     0.018        18
     -29.0     -28.0     -0.74      1.80      0.61     0.024         5
     -28.0     -27.0     -0.33      0.87      0.67     0.012        12
     -27.0     -26.0     -1.93      1.71      0.68     0.027        12
     -26.0     -25.0      0.59      1.03      0.67     0.032        10
     -25.0     -24.0     -2.24      1.84      0.70     0.027        19
     -24.0     -23.0      0.75      0.44      0.69     0.012         4
     -23.0     -22.0     -1.09      1.90      0.74     0.011        19
     -22.0     -21.0     -1.09      1.66      0.70     0.023         6
     -21.0     -20.0     -2.05      2.91      0.75     0.033        18
     -20.0     -19.0     -0.83      1.39      0.76     0.020         9
     -19.0     -18.0     -2.32      1.82      0.76     0.030        17
     -18.0     -17.0     -0.23      1.39      0.78     0.028        15
     -17.0     -16.0     -2.79      1.31      0.79     0.012        11
     -16.0     -15.0     -0.77      1.17      0.80     0.027        16
     -15.0     -14.0     -2.28      1.34      0.79     0.035        13
     -14.0     -13.0     -1.91      1.59      0.81     0.042        19
     -13.0     -12.0     -3.10      1.19      0.82     0.011        10
     -12.0     -11.0     -5.46      1.69      0.83     0.042        20
     -11.0     -10.0     -4.42      2.29      0.83     0.025        12
     -10.0      -9.0     -8.09      2.92      0.86     0.024        17
      -9.0      -8.0     -8.64      1.39      0.84     0.033        14
      -8.0      -7.0     -9.00      2.57      0.87     0.027        20
      -7.0      -6.0     -8.52      0.78      0.86     0.033        14
      -6.0      -5.0     -6.72      1.97      0.88     0.041        20
      -5.0      -4.0     -4.47      1.70      0.86     0.052        16
      -4.0      -3.0     -2.32      1.47      0.89     0.033        21
      -3.0      -2.0      0.30      1.32      0.91     0.012        16
      -2.0      -1.0      2.72      1.45      0.90     0.032        16
