#      LATG        TB       sTB        MU       sMU
    -38.4     -1.00      1.05      0.16     0.006
    -35.2     -1.53      1.06      0.26     0.014
    -32.1     -1.76      0.97      0.31     0.017
    -29.1     -1.50      0.82      0.35     0.005
    -26.1     -0.68      1.53      0.38     0.014
    -23.2      0.40      0.63      0.41     0.004
    -20.2      0.88      2.07      0.41     0.014
    -17.4     -0.28      1.58      0.46     0.010
    -14.5     -3.57      0.78      0.46     0.010
    -11.7     -7.97      1.65      0.49     0.021
     -8.9    -10.94      0.85      0.51     0.016
     -6.1     -9.76      1.27      0.53     0.022
     -3.3     -3.59      0.84      0.54     0.019
     -0.5      5.64      0.64      0.59     0.009
      2.3     14.20      0.68      0.59     0.018
      5.1     18.86      0.66      0.62     0.013
      7.9     18.72      0.24      0.61     0.012
     10.7     15.15      1.03      0.65     0.018
     13.6     10.50      1.80      0.61     0.024
     16.4      6.88      0.87      0.67     0.012
     19.3      5.67      1.71      0.68     0.027
     22.2      7.49      1.03      0.67     0.032
     25.1     11.96      1.84      0.70     0.027
     28.0     17.60      0.44      0.69     0.012
     31.1     22.08      1.90      0.74     0.011
     34.1     23.16      1.66      0.70     0.023
     37.3     19.98      2.91      0.75     0.033
     40.5     13.93      1.39      0.76     0.020
     43.9      8.06      1.82      0.76     0.030
     47.4      5.21      1.39      0.78     0.028
     51.1      6.19      1.31      0.79     0.012
     55.0      9.38      1.17      0.80     0.027
     59.4     12.09      1.34      0.79     0.035
     64.3     12.29      1.59      0.81     0.042
     70.2      9.69      1.19      0.82     0.011
     78.7      5.50      1.69      0.83     0.042
