# VLA smeared map of saturn, K band, 1.15 - 1.67 cm, 18 - 26 GHz
#    LATG1     LATG2        TB       sTB        MU       sMU         N
     -90.0     -58.6      0.47      0.57      0.10     0.011         8
     -58.6     -53.4      1.83      1.39      0.16     0.033         8
     -53.4     -52.6      1.03      0.70      0.21     0.006        10
     -52.6     -49.4     -0.18      1.80      0.25     0.014         9
     -49.4     -48.6     -0.07      0.77      0.28     0.006        10
     -48.6     -46.6     -1.77      2.20      0.29     0.008         9
     -46.6     -45.6     -1.92      1.22      0.32     0.008         8
     -45.6     -45.2     -0.74      0.37      0.34     0.004        11
     -45.2     -43.4     -1.90      1.52      0.34     0.014        10
     -43.4     -42.6     -0.24      0.34      0.38     0.006         8
     -42.6     -42.2      0.07      0.10      0.39     0.002         9
     -42.2     -40.8      1.35      1.33      0.38     0.010         8
     -40.8     -40.0      2.87      0.41      0.41     0.006         8
     -40.0     -39.6      1.94      0.21      0.43     0.003        11
     -39.6     -38.4      3.03      0.93      0.42     0.010         8
     -38.4     -37.6      4.43      0.56      0.45     0.007         9
     -37.6     -37.2      2.62      0.54      0.47     0.010        13
     -37.2     -36.0      1.89      0.66      0.46     0.009         8
     -36.0     -35.4      1.50      1.65      0.48     0.018        10
     -35.4     -35.0      0.96      0.90      0.50     0.003         8
     -35.0     -34.6      0.00      0.97      0.49     0.016         9
     -34.6     -33.6     -1.23      0.76      0.49     0.013        10
     -33.6     -33.0     -1.16      0.80      0.52     0.005         8
     -33.0     -32.8     -1.90      0.44      0.54     0.002         8
     -32.8     -32.0     -2.17      0.87      0.52     0.014         9
     -32.0     -31.4     -2.51      0.54      0.54     0.007         8
     -31.4     -30.8     -2.29      0.73      0.55     0.013        12
     -30.8     -30.2     -2.47      0.88      0.56     0.014        11
     -30.2     -29.4     -1.45      0.93      0.56     0.011         9
     -29.4     -29.0     -1.49      0.57      0.58     0.012         9
     -29.0     -28.8     -1.36      0.70      0.58     0.016         8
     -28.8     -28.4     -1.46      0.74      0.58     0.023         8
     -28.4     -27.6     -0.58      0.74      0.59     0.009        10
     -27.6     -27.2     -0.54      0.78      0.60     0.015         8
     -27.2     -26.8     -0.63      0.46      0.62     0.003        13
     -26.8     -26.0     -0.13      0.64      0.59     0.026         9
     -26.0     -25.4     -0.86      0.92      0.61     0.026        11
     -25.4     -25.0     -0.69      0.76      0.63     0.017        16
     -25.0     -24.4     -1.31      0.60      0.63     0.020         8
     -24.4     -23.6     -1.23      1.14      0.65     0.007        10
     -23.6     -23.2     -1.32      0.84      0.66     0.016        19
     -23.2     -22.6     -1.24      0.91      0.63     0.021         9
     -22.6     -22.0     -1.74      0.96      0.65     0.021        12
     -22.0     -21.6     -1.21      1.08      0.68     0.017        10
     -21.6     -21.4     -2.29      1.10      0.69     0.011        10
     -21.4     -20.6     -1.65      0.84      0.67     0.007         8
     -20.6     -20.2     -2.13      0.73      0.68     0.018        10
     -20.2     -19.8     -1.16      0.86      0.70     0.014        14
     -19.8     -19.4     -3.11      1.22      0.70     0.017         9
     -19.4     -19.0     -1.69      0.50      0.67     0.032         8
     -19.0     -18.6     -2.58      0.42      0.67     0.045         8
     -18.6     -18.2     -1.47      0.84      0.71     0.019        14
     -18.2     -17.8     -3.02      1.21      0.72     0.016        11
     -17.8     -17.4     -2.36      0.65      0.70     0.018         8
     -17.4     -17.0     -2.61      0.63      0.72     0.016         8
     -17.0     -16.6     -1.89      0.49      0.74     0.004        10
     -16.6     -16.4     -2.65      1.14      0.75     0.014        11
     -16.4     -15.8     -2.13      0.63      0.71     0.026         9
     -15.8     -15.4     -2.89      0.63      0.73     0.027         9
     -15.4     -15.0     -2.33      0.55      0.75     0.017        16
     -15.0     -14.8     -2.65      0.62      0.77     0.012         8
     -14.8     -14.4     -2.65      0.96      0.73     0.020         8
     -14.4     -13.8     -2.67      0.74      0.76     0.007        10
     -13.8     -13.4     -2.45      0.56      0.77     0.018        16
     -13.4     -13.0     -2.49      0.74      0.77     0.017         9
     -13.0     -12.4     -2.46      0.81      0.77     0.006         8
     -12.4     -12.0     -2.27      0.57      0.78     0.015        12
     -12.0     -11.8     -2.33      0.44      0.80     0.015        13
     -11.8     -11.4     -2.02      0.90      0.76     0.018         8
     -11.4     -11.0     -1.93      0.69      0.77     0.020         8
     -11.0     -10.6     -1.61      0.40      0.80     0.014        10
     -10.6     -10.4     -1.01      0.12      0.81     0.002         8
     -10.4     -10.2     -1.52      0.50      0.81     0.012         8
     -10.2      -9.8     -0.68      0.59      0.77     0.019         8
      -9.8      -9.4     -0.27      0.39      0.80     0.017         8
      -9.4      -9.0      0.10      0.39      0.80     0.028        16
      -9.0      -8.8      0.13      0.31      0.83     0.002        11
      -8.8      -8.2      1.02      0.46      0.79     0.018        12
      -8.2      -7.8      1.55      0.28      0.80     0.036        12
      -7.8      -7.4      1.76      0.31      0.82     0.027        18
      -7.4      -7.0      1.63      0.24      0.82     0.036         9
      -7.0      -6.4      2.45      0.37      0.82     0.019        16
      -6.4      -6.0      2.66      0.20      0.84     0.017        16
      -6.0      -5.8      2.49      0.16      0.85     0.015         9
