#      LATG        TB       sTB        MU       sMU
    -39.1      4.39      0.57      0.10     0.011
    -37.3      5.97      1.39      0.16     0.033
    -35.5      3.04      0.70      0.21     0.006
    -33.7     -2.20      1.80      0.25     0.014
    -32.0     -5.44      0.77      0.28     0.006
    -30.3     -4.64      2.20      0.29     0.008
    -28.6     -1.52      1.22      0.32     0.008
    -26.9      0.78      0.37      0.34     0.004
    -25.2      0.82      1.52      0.34     0.014
    -23.6     -0.56      0.34      0.38     0.006
    -22.0     -1.92      0.10      0.39     0.002
    -20.3     -2.59      1.33      0.38     0.010
    -18.7     -2.69      0.41      0.41     0.006
    -17.1     -2.66      0.21      0.43     0.003
    -15.5     -2.89      0.93      0.42     0.010
    -13.9     -3.38      0.56      0.45     0.007
    -12.3     -3.51      0.54      0.47     0.010
    -10.8     -2.42      0.66      0.46     0.009
     -9.2     -0.03      1.65      0.48     0.018
     -7.6      2.60      0.90      0.50     0.003
     -6.0      4.12      0.97      0.49     0.016
     -4.5      4.00      0.76      0.49     0.013
     -2.9      2.77      0.80      0.52     0.005
     -1.3      1.42      0.44      0.54     0.002
      0.2      0.98      0.87      0.52     0.014
      1.8      1.94      0.54      0.54     0.007
      3.3      3.82      0.73      0.55     0.013
      4.9      5.34      0.88      0.56     0.014
      6.5      5.47      0.93      0.56     0.011
      8.0      4.26      0.57      0.58     0.012
      9.6      2.62      0.70      0.58     0.016
     11.2      1.42      0.74      0.58     0.023
     12.8      0.94      0.74      0.59     0.009
     14.4      0.87      0.78      0.60     0.015
     16.0      0.71      0.46      0.62     0.003
     17.6      0.26      0.64      0.59     0.026
     19.2     -0.24      0.92      0.61     0.026
     20.8     -0.42      0.76      0.63     0.017
     22.4     -0.26      0.60      0.63     0.020
     24.1     -0.17      1.14      0.65     0.007
     25.7     -0.27      0.84      0.66     0.016
     27.4     -0.09      0.91      0.63     0.021
     29.0      0.85      0.96      0.65     0.021
     30.7      2.24      1.08      0.68     0.017
     32.5      3.19      1.10      0.69     0.011
     34.2      2.92      0.84      0.67     0.007
     36.0      1.35      0.73      0.68     0.018
     37.8     -0.58      0.86      0.70     0.014
     39.6     -1.09      1.22      0.70     0.017
     41.4      0.78      0.50      0.67     0.032
     43.3      3.45      0.42      0.67     0.045
     45.3      4.00      0.84      0.71     0.019
     47.3      1.85      1.21      0.72     0.016
     49.4     -0.44      0.65      0.70     0.018
     51.5     -0.68      0.63      0.72     0.016
     53.7      0.50      0.49      0.74     0.004
     56.1      1.35      1.14      0.75     0.014
     58.5      1.38      0.63      0.71     0.026
     61.2      1.15      0.63      0.73     0.027
     64.0      1.09      0.55      0.75     0.017
     67.2      1.18      0.62      0.77     0.012
     70.8      1.32      0.96      0.73     0.020
     75.1      1.34      0.74      0.76     0.007
     81.5      0.93      0.56      0.77     0.018
