# VLA smeared map of saturn, Q band, 0.62 - 0.75 cm, 40 - 48.4 GHz
#    LATG1     LATG2        TB       sTB        MU       sMU         N
     -90.0     -60.9      8.97      0.29      0.06     0.017         6
     -60.9     -60.2      8.26      0.51      0.08     0.001         6
     -60.2     -57.1      9.62      0.83      0.13     0.005         5
     -57.1     -56.7      9.91      1.07      0.14     0.002         4
     -56.7     -56.4      9.20      0.74      0.15     0.001         4
     -56.4     -56.0     10.21      0.62      0.16     0.001         9
     -56.0     -55.0     10.31      1.45      0.16     0.004         4
     -55.0     -54.3      9.68      0.12      0.18     0.003         4
     -54.3     -53.7      9.87      1.17      0.19     0.003         6
     -53.7     -53.4      9.67      1.32      0.20     0.002         8
     -53.4     -53.3     10.73      0.67      0.21     0.001         4
     -53.3     -52.3      9.68      1.75      0.21     0.003         7
     -52.3     -51.9      8.92      0.53      0.22     0.003         4
     -51.9     -51.7      9.34      0.43      0.23     0.002         4
     -51.7     -51.3      8.28      1.47      0.24     0.001         4
     -51.3     -51.1      8.98      1.38      0.24     0.001         4
     -51.1     -51.0      9.01      0.65      0.25     0.001         4
     -51.0     -50.9      9.61      0.90      0.25     0.001         7
     -50.9     -50.3      6.70      1.22      0.24     0.005         6
     -50.3     -49.7      6.22      1.67      0.25     0.010         8
     -49.7     -49.4      3.56      3.72      0.25     0.015         4
     -49.4     -49.2      6.24      1.85      0.27     0.008         5
     -49.2     -49.1      6.01      1.60      0.27     0.008         4
     -49.1     -48.9      6.84      0.65      0.28     0.001         6
     -48.9     -48.8      7.17      0.82      0.28     0.001         7
     -48.8     -48.2      4.25      0.51      0.28     0.004         6
     -48.2     -47.9      5.32      0.57      0.29     0.002         4
     -47.9     -47.6      6.06      1.26      0.29     0.002         4
     -47.6     -47.3      4.31      2.36      0.30     0.008         8
     -47.3     -47.2      5.08      0.32      0.31     0.001         4
     -47.2     -47.0      3.62      0.52      0.31     0.001         8
     -47.0     -46.9      3.35      1.18      0.31     0.008         7
     -46.9     -46.4      1.97      0.24      0.31     0.004         6
     -46.4     -46.1      1.03      3.42      0.31     0.010         6
     -46.1     -45.8      4.70      2.13      0.32     0.002         4
     -45.8     -45.6      3.61      0.64      0.33     0.002         4
     -45.6     -45.4      2.33      0.92      0.34     0.001         6
     -45.4     -45.3      0.17      0.74      0.33     0.010         6
     -45.3     -45.2      0.68      0.40      0.34     0.000         7
     -45.2     -45.0     -0.00      0.22      0.33     0.002         4
     -45.0     -44.7      0.49      0.22      0.34     0.002         4
     -44.7     -44.4      1.27      0.45      0.35     0.002         4
     -44.4     -44.2      0.96      2.87      0.35     0.009         6
     -44.2     -44.0      3.65      2.19      0.36     0.001         4
     -44.0     -43.8      0.54      2.15      0.36     0.008        10
     -43.8     -43.7     -1.58      1.45      0.36     0.009         6
     -43.7     -43.5     -1.41      0.74      0.37     0.005         8
     -43.5     -43.2     -0.54      0.78      0.36     0.002         4
     -43.2     -43.0     -0.30      0.63      0.37     0.002         4
     -43.0     -42.7      0.07      1.35      0.37     0.010         7
     -42.7     -42.6      1.11      1.00      0.38     0.001         4
     -42.6     -42.5      0.74      1.48      0.37     0.010         4
     -42.5     -42.3     -0.00      2.33      0.38     0.008         8
     -42.3     -42.2     -0.06      0.86      0.36     0.031         6
     -42.2     -42.1     -2.70      0.42      0.39     0.000         7
     -42.1     -41.9     -1.19      2.03      0.35     0.020         4
     -41.9     -41.7     -0.31      1.21      0.38     0.002         4
     -41.7     -41.5      0.02      2.03      0.39     0.009         6
     -41.5     -41.3     -0.74      0.72      0.40     0.001         4
     -41.3     -41.2      1.36      2.23      0.39     0.009         4
     -41.2     -41.0      0.30      2.24      0.40     0.008         8
