#      LATG        TB       sTB        MU       sMU
    -39.5     -0.14      0.29      0.06     0.017
    -38.5      1.77      0.51      0.08     0.001
    -37.5      3.87      0.83      0.13     0.005
    -36.5      4.63      1.07      0.14     0.002
    -35.5      2.95      0.74      0.15     0.001
    -34.5     -0.07      0.62      0.16     0.001
    -33.6     -1.63      1.45      0.16     0.004
    -32.6     -0.75      0.12      0.18     0.003
    -31.7      0.07      1.17      0.19     0.003
    -30.7     -1.61      1.32      0.20     0.002
    -29.8     -4.70      0.67      0.21     0.001
    -28.9     -6.04      1.75      0.21     0.003
    -27.9     -4.24      0.53      0.22     0.003
    -27.0     -0.84      0.43      0.23     0.002
    -26.1      1.61      1.47      0.24     0.001
    -25.2      1.78      1.38      0.24     0.001
    -24.3      0.71      0.65      0.25     0.001
    -23.3      0.92      0.90      0.25     0.001
    -22.4      3.55      1.22      0.24     0.005
    -21.5      6.50      1.67      0.25     0.010
    -20.6      6.20      3.72      0.25     0.015
    -19.8      1.59      1.85      0.27     0.008
    -18.9     -4.27      1.60      0.27     0.008
    -18.0     -7.12      0.65      0.28     0.001
    -17.1     -5.91      0.82      0.28     0.001
    -16.2     -3.54      0.51      0.28     0.004
    -15.3     -2.77      0.57      0.29     0.002
    -14.4     -2.86      1.26      0.29     0.002
    -13.6     -1.13      2.36      0.30     0.008
    -12.7      2.65      0.32      0.31     0.001
    -11.8      5.04      0.52      0.31     0.001
    -10.9      2.77      1.18      0.31     0.008
    -10.1     -2.87      0.24      0.31     0.004
     -9.2     -6.90      3.42      0.31     0.010
     -8.3     -5.86      2.13      0.32     0.002
     -7.4     -1.14      0.64      0.33     0.002
     -6.6      3.18      0.92      0.34     0.001
     -5.7      4.52      0.74      0.33     0.010
     -4.8      3.48      0.40      0.34     0.000
     -4.0      1.96      0.22      0.33     0.002
     -3.1      1.03      0.22      0.34     0.002
     -2.2      0.50      0.45      0.35     0.002
     -1.4     -0.18      2.87      0.35     0.009
     -0.5     -1.16      2.19      0.36     0.001
      0.4     -2.06      2.15      0.36     0.008
      1.2     -2.19      1.45      0.36     0.009
      2.1     -0.90      0.74      0.37     0.005
      2.9      1.68      0.78      0.36     0.002
      3.8      4.17      0.63      0.37     0.002
      4.7      4.84      1.35      0.37     0.010
      5.5      3.36      1.00      0.38     0.001
      6.4      1.32      1.48      0.37     0.010
      7.3      0.50      2.33      0.38     0.008
      8.2      1.09      0.86      0.36     0.031
      9.0      1.90      0.42      0.39     0.000
      9.9      1.90      2.03      0.35     0.020
     10.8      1.14      1.21      0.38     0.002
     11.6      0.39      2.03      0.39     0.009
     12.5      0.15      0.72      0.40     0.001
     13.4      0.07      2.23      0.39     0.009
     14.3     -0.49      2.24      0.40     0.008
     15.2     -1.45      2.82      0.41     0.002
     16.0     -1.94      1.84      0.41     0.012
     16.9     -1.55      1.46      0.37     0.024
     17.8     -0.88      0.92      0.40     0.008
     18.7     -0.39      1.74      0.41     0.009
     19.6      0.13      2.99      0.41     0.009
     20.5      0.70      3.32      0.40     0.022
     21.4      0.79      3.92      0.43     0.007
     22.3      0.11      2.02      0.43     0.001
     23.2     -0.76      3.70      0.43     0.009
     24.1     -1.12      3.23      0.43     0.008
     25.0     -0.80      1.45      0.42     0.011
     25.9      0.04      0.82      0.41     0.024
     26.8      1.19      2.20      0.42     0.022
     27.7      2.23      3.99      0.44     0.010
     28.7      2.71      0.71      0.45     0.001
     29.6      2.66      3.31      0.45     0.009
     30.5      2.36      3.33      0.45     0.014
     31.5      1.70      2.75      0.46     0.007
     32.4      0.49      0.55      0.45     0.002
     33.4     -0.89      1.59      0.45     0.009
     34.4     -1.68      0.86      0.41     0.044
     35.3     -1.48      2.36      0.45     0.013
     36.3     -0.43      2.61      0.47     0.007
     37.3      0.98      2.61      0.47     0.008
     38.3      1.99      1.78      0.47     0.014
     39.3      1.89      2.08      0.47     0.009
     40.3      0.99      0.59      0.46     0.011
     41.3      0.74      1.85      0.46     0.015
     42.4      2.35      1.67      0.44     0.036
     43.4      5.09      1.27      0.47     0.021
     44.5      6.37      1.74      0.48     0.010
     45.6      4.06      1.31      0.49     0.007
     46.7     -0.81      1.06      0.49     0.008
     47.8     -4.63      0.81      0.49     0.007
     48.9     -4.98      1.65      0.46     0.022
     50.1     -2.69      0.68      0.48     0.016
     51.3     -0.17      0.72      0.49     0.010
     52.5      1.03      0.53      0.50     0.009
     53.7      0.66      0.49      0.50     0.008
     55.0     -0.74      0.86      0.50     0.014
     56.3     -2.04      1.05      0.51     0.019
     57.6     -1.96      1.27      0.51     0.008
     59.0     -0.22      0.72      0.49     0.010
     60.4      1.81      0.49      0.50     0.009
     61.9      2.39      0.22      0.51     0.001
     63.5      1.38      0.45      0.50     0.011
     65.2      0.16      0.34      0.52     0.002
     66.9     -0.24      1.47      0.48     0.029
     68.8     -0.19      0.55      0.52     0.009
     70.9     -0.29      1.19      0.52     0.014
     73.2     -0.33      1.11      0.53     0.008
     75.8      0.14      0.72      0.51     0.010
     79.0      0.76      0.15      0.52     0.001
     83.7      0.78      0.53      0.52     0.009
