# VLA smeared map of saturn, S band, 13.33 - 15.04 cm, 2 - 2.25 GHz
#    LATG1     LATG2        TB       sTB        MU       sMU     MUMAX         N
     -90.0     -70.0     -3.22      0.80      0.29     0.074     0.330         6
     -70.0     -62.0     -3.79      2.63      0.43     0.014     0.447         8
     -62.0     -58.0     -5.75      3.16      0.53     0.008     0.537         7
     -58.0     -50.0     -6.82      1.80      0.59     0.022     0.612        11
     -50.0     -46.0     -5.71      1.94      0.66     0.017     0.675        11
     -46.0     -42.0     -6.43      2.48      0.71     0.020     0.731        12
     -42.0     -38.0    -10.43      2.63      0.76     0.021     0.780        13
     -38.0     -34.0    -17.93      5.93      0.79     0.027     0.823        15
     -34.0     -30.0    -25.33      7.41      0.84     0.019     0.861        13
     -30.0     -26.0    -19.98      3.62      0.87     0.025     0.893        15
     -26.0     -22.0     -8.36      3.98      0.89     0.025     0.921        15
     -22.0     -18.0      1.76      3.94      0.91     0.029     0.945        16
     -18.0     -14.0     11.04      4.70      0.93     0.029     0.965        16
     -14.0     -10.0     15.71      5.46      0.95     0.024     0.980        15
     -10.0      -6.0     13.21      3.80      0.95     0.042     0.991        17
      -6.0      -2.0      7.88      3.61      0.96     0.036     0.997        18
      -2.0       2.0      8.34      3.68      0.96     0.036     1.000        18
       2.0       6.0     15.84      5.39      0.97     0.030     0.999        31
       6.0      10.0     16.11      5.01      0.93     0.046     0.983        21
      10.0      14.0     13.32      2.05      0.94     0.024     0.969        15
      14.0      18.0      8.34      1.69      0.92     0.024     0.951        15
      18.0      22.0      4.58      2.00      0.90     0.030     0.928        16
      22.0      26.0      3.43      2.63      0.87     0.036     0.901        16
      26.0      30.0      3.88      2.19      0.83     0.038     0.869        15
      30.0      34.0      3.85      3.15      0.80     0.027     0.832        15
      34.0      38.0      4.62      1.46      0.77     0.021     0.790        13
      38.0      42.0      3.35      1.44      0.72     0.020     0.742        12
      42.0      46.0      0.86      1.36      0.68     0.006     0.688         7
      46.0      54.0     -1.00      1.91      0.60     0.018     0.625        11
      54.0      58.0     -3.35      2.10      0.53     0.018     0.552        10
      58.0      62.0     -5.82      2.66      0.45     0.009     0.464         7
      62.0      70.0     -3.94      1.55      0.34     0.011     0.352         6
