#      LATG        TB       sTB        MU       sMU
    -37.5    -18.89      0.80      0.29     0.074
    -32.6    -25.51      2.63      0.43     0.014
    -27.9    -23.02      3.16      0.53     0.008
    -23.2    -12.25      1.80      0.59     0.022
    -18.7      1.02      1.94      0.66     0.017
    -14.2     10.62      2.48      0.71     0.020
     -9.7     14.23      2.63      0.76     0.021
     -5.3     14.05      5.93      0.79     0.027
     -0.9     13.68      7.41      0.84     0.019
      3.5     14.44      3.62      0.87     0.025
      7.9     14.83      3.98      0.89     0.025
     12.3     13.04      3.94      0.91     0.029
     16.8      9.21      4.70      0.93     0.029
     21.3      5.36      5.46      0.95     0.024
     25.9      3.32      3.80      0.95     0.042
     30.6      3.27      3.61      0.96     0.036
     35.4      3.83      3.68      0.96     0.036
     40.4      3.40      5.39      0.97     0.030
     45.7      1.38      5.01      0.93     0.046
     51.5     -1.53      2.05      0.94     0.024
     57.7     -3.94      1.69      0.92     0.024
     64.9     -4.70      2.00      0.90     0.030
     72.1     -3.65      2.63      0.87     0.036
