# VLA smeared map of saturn, U band, 1.66 - 2.50 cm, 12 - 18 GHz
#    LATG1     LATG2        TB       sTB        MU       sMU         N
     -90.0     -64.4      1.62      0.33      0.04     0.005        12
     -64.4     -61.0      3.50      0.33      0.08     0.010        12
     -61.0     -60.8      3.33      0.11      0.10     0.002         4
     -60.8     -60.4      3.58      0.17      0.11     0.002         6
     -60.4     -60.2      3.49      0.29      0.12     0.002        10
     -60.2     -59.4      4.98      2.08      0.12     0.001         4
     -59.4     -58.8      6.94      0.22      0.13     0.004         6
     -58.8     -58.4      6.46      0.26      0.14     0.003         6
     -58.4     -58.0      5.88      0.22      0.15     0.003         8
     -58.0     -57.8      5.80      0.35      0.15     0.006         8
     -57.8     -57.6      4.88      0.41      0.16     0.001        10
     -57.6     -56.8      8.66      0.59      0.16     0.003         6
     -56.8     -56.6      8.53      0.18      0.17     0.002         4
     -56.6     -56.2      7.83      0.29      0.18     0.002         6
     -56.2     -56.0      6.70      0.47      0.18     0.002         6
     -56.0     -55.8      5.04      0.74      0.19     0.006        10
     -55.8     -55.6      4.24      0.41      0.19     0.001        10
     -55.6     -55.2      4.63      0.65      0.19     0.003         6
     -55.2     -55.0      5.96      0.18      0.20     0.002         4
     -55.0     -54.6      5.46      0.31      0.20     0.002         6
     -54.6     -54.4      4.47      0.36      0.21     0.002         6
     -54.4     -54.2      2.96      0.52      0.22     0.001         6
     -54.2     -54.0      1.43      0.38      0.22     0.001        12
     -54.0     -53.8     -0.44      1.11      0.22     0.006         8
     -53.8     -53.4     -0.36      0.42      0.22     0.003         6
     -53.4     -53.2      0.26      0.25      0.23     0.001         4
     -53.2     -53.0     -0.11      0.52      0.23     0.001         4
     -53.0     -52.8     -0.92      0.48      0.24     0.002         6
     -52.8     -52.6     -2.96      1.44      0.24     0.005        10
     -52.6     -52.4     -3.83      1.11      0.25     0.005        18
     -52.4     -52.0     -5.21      0.47      0.24     0.002         6
     -52.0     -51.8     -4.09      0.30      0.25     0.001         4
     -51.8     -51.6     -4.33      1.12      0.25     0.007        10
     -51.6     -51.4     -4.73      0.98      0.26     0.006         8
     -51.4     -51.2     -5.46      0.62      0.26     0.007        12
     -51.2     -51.0     -5.54      0.30      0.27     0.004        16
     -51.0     -50.8     -6.02      0.34      0.26     0.002         4
     -50.8     -50.6     -5.48      0.36      0.27     0.001         4
     -50.6     -50.4     -4.24      0.54      0.28     0.002         6
     -50.4     -50.2     -3.33      0.55      0.28     0.006         8
     -50.2     -50.0     -2.77      1.71      0.28     0.010        12
     -50.0     -49.8     -3.60      0.38      0.29     0.005        20
     -49.8     -49.6     -3.01      0.50      0.29     0.006         6
     -49.6     -49.4     -1.30      1.65      0.28     0.007         6
     -49.4     -49.2     -0.60      1.40      0.29     0.007        10
     -49.2     -49.0     -0.14      0.82      0.30     0.006         8
     -49.0     -48.8      0.09      0.25      0.31     0.002         8
     -48.8     -48.6      0.80      0.79      0.31     0.010        22
     -48.6     -48.4      1.19      0.60      0.31     0.006         8
     -48.4     -48.2      2.31      0.93      0.31     0.001         4
     -48.2     -48.0      2.90      1.34      0.31     0.007        10
     -48.0     -47.8      2.96      0.90      0.31     0.012        12
