#      LATG        TB       sTB        MU       sMU
    -39.6     -7.34      0.33      0.04     0.005
    -38.9     -7.13      0.33      0.08     0.010
    -38.2     -1.60      0.11      0.10     0.002
    -37.4      3.95      0.17      0.11     0.002
    -36.7      5.28      0.29      0.12     0.002
    -36.0      3.05      2.08      0.12     0.001
    -35.3      0.44      0.22      0.13     0.004
    -34.6     -0.61      0.26      0.14     0.003
    -33.9     -0.34      0.22      0.15     0.003
    -33.2      0.05      0.35      0.15     0.006
    -32.5     -0.25      0.41      0.16     0.001
    -31.8     -1.14      0.59      0.16     0.003
    -31.1     -2.01      0.18      0.17     0.002
    -30.4     -2.39      0.29      0.18     0.002
    -29.7     -2.22      0.47      0.18     0.002
    -29.0     -1.80      0.74      0.19     0.006
    -28.4     -1.60      0.41      0.19     0.001
    -27.7     -1.72      0.65      0.19     0.003
    -27.0     -1.44      0.18      0.20     0.002
    -26.4      0.18      0.31      0.20     0.002
    -25.7      2.76      0.36      0.21     0.002
    -25.0      4.14      0.52      0.22     0.001
    -24.4      2.10      0.38      0.22     0.001
    -23.7     -2.99      1.11      0.22     0.006
    -23.1     -7.52      0.42      0.22     0.003
    -22.4     -7.51      0.25      0.23     0.001
    -21.8     -2.59      0.52      0.23     0.001
    -21.1      3.50      0.48      0.24     0.002
    -20.5      6.60      1.44      0.24     0.005
    -19.9      5.31      1.11      0.25     0.005
    -19.2      0.83      0.47      0.24     0.002
    -18.6     -4.54      0.30      0.25     0.001
    -17.9     -8.12      1.12      0.25     0.007
    -17.3     -7.79      0.98      0.26     0.006
    -16.7     -3.83      0.62      0.26     0.007
    -16.0      0.53      0.30      0.27     0.004
    -15.4      1.59      0.34      0.26     0.002
    -14.8     -1.23      0.36      0.27     0.001
    -14.1     -5.18      0.54      0.28     0.002
    -13.5     -7.51      0.55      0.28     0.006
    -12.9     -7.71      1.71      0.28     0.010
    -12.3     -6.45      0.38      0.29     0.005
    -11.6     -3.98      0.50      0.29     0.006
    -11.0     -0.92      1.65      0.28     0.007
    -10.4      0.84      1.40      0.29     0.007
     -9.8     -0.16      0.82      0.30     0.006
     -9.1     -2.60      0.25      0.31     0.002
     -8.5     -3.29      0.79      0.31     0.010
     -7.9     -0.68      0.60      0.31     0.006
     -7.3      3.43      0.93      0.31     0.001
     -6.7      6.01      1.34      0.31     0.007
     -6.0      5.85      0.90      0.31     0.012
     -5.4      3.91      0.63      0.32     0.007
