# VLA smeared map of saturn, X band, 2.5 - 3.76 cm, 8 - 12 GHz
#    LATG1     LATG2        TB       sTB        MU       sMU         N
     -90.0     -63.2      0.53      0.11      0.04     0.007         9
     -63.2     -59.4      0.80      0.08      0.12     0.003         4
     -59.4     -59.0      0.84      0.09      0.13     0.002         4
     -59.0     -58.8      0.89      0.16      0.14     0.001         4
     -58.8     -58.6      0.79      0.07      0.14     0.001         7
     -58.6     -57.0      1.59      0.28      0.16     0.004         4
     -57.0     -56.4      1.67      0.02      0.17     0.003         4
     -56.4     -56.0      1.60      0.10      0.18     0.002         4
     -56.0     -55.6      1.52      0.28      0.19     0.003         8
     -55.6     -55.4      1.42      0.29      0.20     0.001         6
     -55.4     -54.6      1.83      0.55      0.20     0.004         5
     -54.6     -53.8      2.72      0.22      0.21     0.006         8
     -53.8     -53.4      2.39      0.11      0.22     0.003         6
     -53.4     -53.0      2.45      0.44      0.24     0.003         8
     -53.0     -52.8      2.11      0.40      0.24     0.001         9
     -52.8     -52.4      3.34      0.35      0.23     0.003         4
     -52.4     -52.0      3.09      0.04      0.24     0.003         4
     -52.0     -51.4      3.26      0.12      0.25     0.004         6
     -51.4     -51.2      2.63      0.12      0.26     0.002         4
     -51.2     -51.0      2.74      0.29      0.27     0.001         4
     -51.0     -50.8      2.72      0.52      0.27     0.002         6
     -50.8     -50.6      2.29      0.46      0.28     0.001         9
     -50.6     -49.8      2.52      0.59      0.27     0.006         8
     -49.8     -49.4      2.23      0.24      0.29     0.003         6
     -49.4     -49.2      1.93      0.23      0.30     0.002         4
     -49.2     -49.0      2.19      1.16      0.29     0.011         6
     -49.0     -48.8      1.72      0.44      0.31     0.001         6
     -48.8     -48.6      1.39      0.44      0.31     0.001         9
     -48.6     -48.0      0.69      0.63      0.30     0.005         8
     -48.0     -47.6      0.25      0.24      0.32     0.003         6
     -47.6     -47.2      0.74      0.96      0.32     0.011        12
     -47.2     -47.0      0.08      0.58      0.33     0.009        10
     -47.0     -46.8     -0.36      0.28      0.34     0.000         7
     -46.8     -46.2     -0.80      0.36      0.33     0.005         8
     -46.2     -46.0      0.39      1.62      0.33     0.012         4
     -46.0     -45.8     -0.11      1.29      0.34     0.010         6
     -45.8     -45.6     -0.66      0.24      0.36     0.002         6
     -45.6     -45.4     -0.52      0.73      0.36     0.010         8
     -45.4     -45.2     -1.06      0.63      0.36     0.008        13
     -45.2     -44.8     -0.10      0.82      0.35     0.004         6
     -44.8     -44.6     -0.57      0.85      0.37     0.002         4
     -44.6     -44.2      0.80      1.36      0.37     0.011        10
     -44.2     -44.0      0.06      0.28      0.38     0.002         6
     -44.0     -43.8      0.49      0.94      0.38     0.009        10
     -43.8     -43.6     -0.15      0.23      0.39     0.001         9
     -43.6     -43.2      2.13      1.35      0.38     0.002         4
     -43.2     -43.0      2.24      1.15      0.39     0.002         4
     -43.0     -42.8      2.80      0.75      0.39     0.011         6
     -42.8     -42.6      2.76      0.55      0.40     0.010         8
     -42.6     -42.4      3.58      1.21      0.40     0.016        12
     -42.4     -42.2      3.14      0.75      0.41     0.007        15
     -42.2     -41.8      4.84      0.96      0.40     0.003         6
     -41.8     -41.6      5.14      0.67      0.41     0.010         6
     -41.6     -41.4      4.86      0.75      0.41     0.010         6
     -41.4     -41.2      4.56      0.75      0.42     0.010         6
     -41.2     -41.0      4.95      0.69      0.43     0.010         8
     -41.0     -40.8      5.44      0.50      0.43     0.009        19
     -40.8     -40.4      5.91      0.19      0.43     0.003         6
     -40.4     -40.2      5.25      1.03      0.42     0.012         8
     -40.2     -40.0      4.91      1.35      0.44     0.010         6
     -40.0     -39.8      5.41      0.68      0.45     0.002         6
     -39.8     -39.6      5.00      1.37      0.45     0.010         8
     -39.6     -39.4      5.36      1.18      0.45     0.009        17
     -39.4     -39.2      3.54      1.10      0.43     0.012         4
     -39.2     -39.0      4.33      1.03      0.45     0.002         4
     -39.0     -38.8      4.05      0.59      0.46     0.002         4
     -38.8     -38.6      3.10      1.41      0.46     0.009         8
     -38.6     -38.4      2.55      1.70      0.46     0.017        10
     -38.4     -38.2      3.52      1.35      0.47     0.010        16
     -38.2     -38.0      3.78      1.57      0.48     0.009         7
     -38.0     -37.8      1.79      1.57      0.46     0.009         6
     -37.8     -37.6      1.60      1.74      0.46     0.018         8
     -37.6     -37.4      1.29      1.57      0.47     0.018        10
     -37.4     -37.2      1.59      1.44      0.49     0.002         6
     -37.2     -37.0      2.47      0.89      0.49     0.009        12
     -37.0     -36.8      2.32      0.99      0.49     0.016        15
     -36.8     -36.6      1.21      1.05      0.49     0.002         4
     -36.6     -36.4      0.92      0.76      0.49     0.002         4
     -36.4     -36.2      0.71      0.34      0.50     0.001         4
     -36.2     -36.0      2.33      2.21      0.50     0.010         8
     -36.0     -35.8      3.12      1.56      0.51     0.011        14
     -35.8     -35.6      3.07      0.51      0.51     0.009        15
     -35.6     -35.4      3.00      0.17      0.50     0.011         6
     -35.4     -35.2      2.76      0.43      0.51     0.002         4
     -35.2     -35.0      4.44      1.89      0.51     0.012         8
     -35.0     -34.8      4.65      2.11      0.52     0.010         8
     -34.8     -34.6      4.82      2.26      0.52     0.010        14
     -34.6     -34.4      4.08      1.54      0.53     0.009        15
     -34.4     -34.2      5.19      0.91      0.51     0.011         6
     -34.2     -34.0      5.71      0.66      0.52     0.011         8
     -34.0     -33.8      6.11      1.59      0.53     0.009         8
     -33.8     -33.6      6.16      1.95      0.53     0.011        10
     -33.6     -33.4      4.61      1.89      0.54     0.015        16
     -33.4     -33.2      4.33      2.31      0.55     0.010        11
     -33.2     -33.0      5.80      1.35      0.53     0.011         6
     -33.0     -32.8      5.26      2.07      0.53     0.019        14
     -32.8     -32.6      5.34      1.52      0.55     0.010         8
     -32.6     -32.4      4.31      1.36      0.56     0.009        10
     -32.4     -32.2      2.76      1.66      0.56     0.015        21
     -32.2     -32.0      4.78      1.40      0.55     0.002         4
     -32.0     -31.8      5.55      0.44      0.56     0.002         4
     -31.8     -31.6      4.13      1.58      0.56     0.010         8
     -31.6     -31.4      2.27      1.02      0.56     0.011        10
     -31.4     -31.2      1.29      1.02      0.57     0.016        18
     -31.2     -31.0      0.60      0.97      0.57     0.017        17
     -31.0     -30.8      1.55      1.03      0.56     0.010         6
     -30.8     -30.6      0.94      1.19      0.57     0.011        10
     -30.6     -30.4     -0.15      1.04      0.57     0.019        10
     -30.4     -30.2     -0.70      0.89      0.58     0.019        16
     -30.2     -30.0     -1.04      0.45      0.59     0.014        21
     -30.0     -29.8     -0.52      0.14      0.58     0.002         4
     -29.8     -29.6     -1.41      0.54      0.58     0.012        10
     -29.6     -29.4     -1.88      0.69      0.59     0.011        10
     -29.4     -29.2     -1.82      0.42      0.60     0.009        10
     -29.2     -29.0     -2.11      0.42      0.60     0.015        23
     -29.0     -28.8     -2.25      0.04      0.60     0.002         4
     -28.8     -28.6     -2.75      0.28      0.60     0.010         8
     -28.6     -28.4     -3.10      0.41      0.60     0.012        10
     -28.4     -28.2     -3.04      0.65      0.60     0.019        16
     -28.2     -28.0     -2.85      0.53      0.62     0.015        20
     -28.0     -27.8     -2.95      0.69      0.60     0.022        15
     -27.8     -27.6     -3.14      0.52      0.60     0.018         8
     -27.6     -27.4     -3.66      0.40      0.61     0.011        10
     -27.4     -27.2     -3.50      0.42      0.62     0.010        12
     -27.2     -27.0     -3.25      0.77      0.62     0.023        24
     -27.0     -26.8     -3.25      0.58      0.63     0.015        13
     -26.8     -26.6     -2.96      0.85      0.62     0.012         8
     -26.6     -26.4     -3.52      0.76      0.63     0.010        10
     -26.4     -26.2     -3.22      0.55      0.63     0.018        12
     -26.2     -26.0     -3.12      0.54      0.64     0.018        22
     -26.0     -25.8     -2.82      0.54      0.64     0.015        15
     -25.8     -25.6     -2.38      0.90      0.63     0.012         8
     -25.6     -25.4     -2.70      0.94      0.64     0.010        10
     -25.4     -25.2     -2.21      0.53      0.65     0.017        12
     -25.2     -25.0     -2.09      0.52      0.65     0.017        26
     -25.0     -24.8     -1.58      0.88      0.65     0.023        13
     -24.8     -24.6     -1.42      0.83      0.64     0.011         8
     -24.6     -24.4     -1.26      0.81      0.65     0.016        14
     -24.4     -24.2     -0.97      0.50      0.66     0.017        14
     -24.2     -24.0     -1.00      0.46      0.67     0.017        27
     -24.0     -23.8     -0.82      0.12      0.66     0.002         4
     -23.8     -23.6     -0.66      0.59      0.66     0.012        10
     -23.6     -23.4     -0.33      0.44      0.67     0.011        10
     -23.4     -23.2     -0.36      0.37      0.66     0.024        20
     -23.2     -23.0     -0.42      0.30      0.68     0.014        23
     -23.0     -22.8     -0.53      0.48      0.67     0.011        10
     -22.8     -22.6     -0.59      0.56      0.67     0.017        12
     -22.6     -22.4     -0.57      0.39      0.68     0.019        10
     -22.4     -22.2     -0.82      0.22      0.69     0.011        18
     -22.2     -22.0     -0.78      0.37      0.69     0.017        21
     -22.0     -21.8     -1.56      0.74      0.68     0.018        10
     -21.8     -21.6     -1.62      0.80      0.69     0.012        10
     -21.6     -21.4     -1.80      0.41      0.69     0.019        16
     -21.4     -21.2     -1.89      0.44      0.70     0.026        26
     -21.2     -21.0     -1.94      0.48      0.69     0.021        17
     -21.0     -20.8     -2.55      0.85      0.69     0.018        12
     -20.8     -20.6     -2.65      0.94      0.70     0.016        12
     -20.6     -20.4     -3.01      0.42      0.71     0.010        14
     -20.4     -20.2     -2.47      0.55      0.72     0.017        25
     -20.2     -20.0     -2.37      0.62      0.69     0.019        14
     -20.0     -19.8     -2.43      1.05      0.70     0.024        14
     -19.8     -19.6     -2.77      1.06      0.71     0.017        14
     -19.6     -19.4     -2.39      0.98      0.72     0.024        24
     -19.4     -19.2     -2.13      0.77      0.72     0.017        17
     -19.2     -19.0     -1.94      0.65      0.72     0.010        10
     -19.0     -18.8     -1.83      1.01      0.72     0.018        16
     -18.8     -18.6     -1.80      1.12      0.72     0.023        18
     -18.6     -18.4     -1.55      0.90      0.73     0.022        27
     -18.4     -18.2     -0.95      0.57      0.72     0.011        10
     -18.2     -18.0     -1.24      0.87      0.71     0.024        16
