#      LATG        TB       sTB        MU       sMU
    -39.5      2.68      0.11      0.04     0.007
    -38.4      2.57      0.08      0.12     0.003
    -37.4      1.99      0.09      0.13     0.002
    -36.3      2.00      0.16      0.14     0.001
    -35.3      3.05      0.07      0.14     0.001
    -34.3      4.40      0.28      0.16     0.004
    -33.2      4.87      0.02      0.17     0.003
    -32.2      3.90      0.10      0.18     0.002
    -31.2      1.81      0.28      0.19     0.003
    -30.2     -0.63      0.29      0.20     0.001
    -29.3     -2.72      0.55      0.20     0.004
    -28.3     -3.98      0.22      0.21     0.006
    -27.3     -4.22      0.11      0.22     0.003
    -26.3     -3.47      0.44      0.24     0.003
    -25.4     -2.11      0.40      0.24     0.001
    -24.4     -0.80      0.35      0.23     0.003
    -23.4     -0.21      0.04      0.24     0.003
    -22.5     -0.60      0.12      0.25     0.004
    -21.5     -1.59      0.12      0.26     0.002
    -20.6     -2.44      0.29      0.27     0.001
    -19.6     -2.71      0.52      0.27     0.002
    -18.7     -2.52      0.46      0.28     0.001
    -17.8     -2.32      0.59      0.27     0.006
    -16.8     -2.27      0.24      0.29     0.003
    -15.9     -2.04      0.23      0.30     0.002
    -15.0     -1.27      1.16      0.29     0.011
    -14.0     -0.06      0.44      0.31     0.001
    -13.1      1.10      0.44      0.31     0.001
    -12.2      1.78      0.63      0.30     0.005
    -11.2      2.04      0.24      0.32     0.003
    -10.3      2.16      0.96      0.32     0.011
     -9.4      2.24      0.58      0.33     0.009
     -8.5      2.09      0.28      0.34     0.000
     -7.6      1.55      0.36      0.33     0.005
     -6.6      0.80      1.62      0.33     0.012
     -5.7      0.18      1.29      0.34     0.010
     -4.8     -0.10      0.24      0.36     0.002
     -3.9     -0.16      0.73      0.36     0.010
     -3.0     -0.24      0.63      0.36     0.008
     -2.1     -0.43      0.82      0.35     0.004
     -1.1     -0.68      0.85      0.37     0.002
     -0.2     -0.99      1.36      0.37     0.011
      0.7     -1.45      0.28      0.38     0.002
      1.6     -2.07      0.94      0.38     0.009
      2.5     -2.64      0.23      0.39     0.001
      3.4     -2.86      1.35      0.38     0.002
      4.4     -2.42      1.15      0.39     0.002
      5.3     -1.28      0.75      0.39     0.011
      6.2      0.31      0.55      0.40     0.010
      7.1      1.91      1.21      0.40     0.016
      8.0      3.13      0.75      0.41     0.007
      9.0      3.83      0.96      0.40     0.003
      9.9      4.08      0.67      0.41     0.010
     10.8      4.01      0.75      0.41     0.010
     11.7      3.69      0.75      0.42     0.010
     12.7      3.10      0.69      0.43     0.010
     13.6      2.29      0.50      0.43     0.009
     14.5      1.40      0.19      0.43     0.003
     15.4      0.57      1.03      0.42     0.012
     16.4     -0.05      1.35      0.44     0.010
     17.3     -0.38      0.68      0.45     0.002
     18.3     -0.45      1.37      0.45     0.010
     19.2     -0.36      1.18      0.45     0.009
     20.1     -0.28      1.10      0.43     0.012
     21.1     -0.33      1.03      0.45     0.002
     22.0     -0.55      0.59      0.46     0.002
     23.0     -0.86      1.41      0.46     0.009
     23.9     -1.24      1.70      0.46     0.017
     24.9     -1.67      1.35      0.47     0.010
     25.9     -2.10      1.57      0.48     0.009
     26.8     -2.42      1.57      0.46     0.009
     27.8     -2.40      1.74      0.46     0.018
     28.8     -1.89      1.57      0.47     0.018
     29.8     -0.88      1.44      0.49     0.002
     30.8      0.44      0.89      0.49     0.009
     31.8      1.78      0.99      0.49     0.016
     32.8      2.88      1.05      0.49     0.002
     33.8      3.72      0.76      0.49     0.002
     34.8      4.48      0.34      0.50     0.001
     35.8      5.48      2.21      0.50     0.010
     36.9      7.02      1.56      0.51     0.011
     37.9      9.17      0.51      0.51     0.009
     39.0     11.65      0.17      0.50     0.011
     40.0     13.99      0.43      0.51     0.002
     41.1     15.76      1.89      0.51     0.012
     42.2     16.88      2.11      0.52     0.010
     43.3     17.55      2.26      0.52     0.010
     44.4     17.72      1.54      0.53     0.009
     45.5     16.75      0.91      0.51     0.011
     46.7     13.80      0.66      0.52     0.011
     47.9      8.83      1.59      0.53     0.009
     49.1      3.20      1.95      0.53     0.011
     50.3     -1.09      1.89      0.54     0.015
     51.5     -2.82      2.31      0.55     0.010
     52.8     -2.29      1.35      0.53     0.011
     54.1     -0.85      2.07      0.53     0.019
     55.4      0.19      1.52      0.55     0.010
     56.8      0.32      1.36      0.56     0.009
     58.2     -0.17      1.66      0.56     0.015
     59.7     -0.60      1.40      0.55     0.002
     61.3     -0.52      0.44      0.56     0.002
     62.9      0.02      1.58      0.56     0.010
     64.6      0.58      1.02      0.56     0.011
     66.4      0.77      1.02      0.57     0.016
     68.3      0.58      0.97      0.57     0.017
     70.4      0.29      1.03      0.56     0.010
     72.8      0.22      1.19      0.57     0.011
     75.5      0.45      1.04      0.57     0.019
     78.8      0.80      0.89      0.58     0.019
     83.5      0.91      0.45      0.59     0.014
