# Bin Radiances of Band b1: 3.3 - 3e+03
# Ray output size: 1
# Polar angles: 48.200
# Azimuthal angles: 0.000
#       wave1       wave2    Radiance1      weight
          3.3         3.3     196.093    0.000501
          6.3         6.3     168.402       0.001
         9.31        9.31     158.460       0.001
         12.3        12.3     153.023       0.001
         15.3        15.3     148.652       0.001
         18.3        18.3     144.019       0.001
         21.3        21.3     139.098       0.001
         24.3        24.3     137.015       0.001
         27.3        27.3     140.269       0.001
         30.3        30.3     143.545       0.001
         33.3        33.3     145.944       0.001
         36.3        36.3     147.734       0.001
         39.3        39.3     149.125       0.001
         42.3        42.3     150.249       0.001
         45.3        45.3     151.186       0.001
         48.3        48.3     151.987       0.001
         51.3        51.3     152.682       0.001
         54.3        54.3     153.295       0.001
         57.3        57.3     153.838       0.001
         60.4        60.4     154.324       0.001
         63.4        63.4     154.758       0.001
         66.4        66.4     155.149       0.001
         69.4        69.4     155.500       0.001
         72.4        72.4     155.815       0.001
         75.4        75.4     156.097       0.001
         78.4        78.4     156.351       0.001
         81.4        81.4     156.577       0.001
         84.4        84.4     156.778       0.001
         87.4        87.4     156.956       0.001
         90.4        90.4     157.113       0.001
         93.4        93.4     157.251       0.001
         96.4        96.4     157.370       0.001
         99.4        99.4     157.472       0.001
          102         102     157.558       0.001
          105         105     157.629       0.001
          108         108     157.687       0.001
          111         111     157.731       0.001
          114         114     157.763       0.001
          117         117     157.784       0.001
          120         120     157.794       0.001
          123         123     157.794       0.001
          126         126     157.785       0.001
          129         129     157.766       0.001
          132         132     157.739       0.001
          135         135     157.704       0.001
          138         138     157.662       0.001
          141         141     157.612       0.001
          144         144     157.556       0.001
          147         147     157.493       0.001
          150         150     157.424       0.001
          153         153     157.349       0.001
          156         156     157.269       0.001
          159         159     157.183       0.001
          162         162     157.092       0.001
          165         165     156.997       0.001
          168         168     156.897       0.001
          171         171     156.793       0.001
          174         174     156.685       0.001
          177         177     156.572       0.001
          180         180     156.456       0.001
          183         183     156.337       0.001
          186         186     156.214       0.001
          189         189     156.088       0.001
          192         192     155.958       0.001
          195         195     155.826       0.001
          198         198     155.691       0.001
          201         201     155.553       0.001
          204         204     155.413       0.001
          207         207     155.270       0.001
          210         210     155.125       0.001
          213         213     154.978       0.001
          216         216     154.828       0.001
          219         219     154.677       0.001
          222         222     154.524       0.001
