# Bin Radiances of Band b2: 0.3 - 3.3
# Ray output size: 1
# Polar angles: 48.200
# Azimuthal angles: 0.000
#       wave1       wave2    Radiance1      weight
          0.3         0.3     920.620     0.00505
         0.33        0.33     821.938      0.0101
        0.361       0.361     739.432      0.0101
        0.391       0.391     670.720      0.0101
        0.421       0.421     613.636      0.0101
        0.452       0.452     566.251      0.0101
        0.482       0.482     526.877      0.0101
        0.512       0.512     494.068      0.0101
        0.542       0.542     466.605      0.0101
        0.573       0.573     443.478      0.0101
        0.603       0.603     423.862      0.0101
        0.633       0.633     407.093      0.0101
        0.664       0.664     392.621      0.0101
        0.694       0.694     380.019      0.0101
        0.724       0.724     368.947      0.0101
        0.755       0.755     359.135      0.0101
        0.785       0.785     350.366      0.0101
        0.815       0.815     342.471      0.0101
        0.845       0.845     335.311      0.0101
        0.876       0.876     328.776      0.0101
        0.906       0.906     322.776      0.0101
        0.936       0.936     317.239      0.0101
        0.967       0.967     312.105      0.0101
        0.997       0.997     307.324      0.0101
         1.03        1.03     302.854      0.0101
         1.06        1.06     298.662      0.0101
         1.09        1.09     294.718      0.0101
         1.12        1.12     290.997      0.0101
         1.15        1.15     287.476      0.0101
         1.18        1.18     284.138      0.0101
         1.21        1.21     280.967      0.0101
         1.24        1.24     277.948      0.0101
         1.27        1.27     275.069      0.0101
          1.3         1.3     272.318      0.0101
         1.33        1.33     269.687      0.0101
         1.36        1.36     267.165      0.0101
         1.39        1.39     264.747      0.0101
         1.42        1.42     262.424      0.0101
         1.45        1.45     260.190      0.0101
         1.48        1.48     258.040      0.0101
         1.51        1.51     255.968      0.0101
         1.54        1.54     253.969      0.0101
         1.57        1.57     252.040      0.0101
          1.6         1.6     250.176      0.0101
         1.63        1.63     248.374      0.0101
         1.66        1.66     246.630      0.0101
         1.69        1.69     244.941      0.0101
         1.72        1.72     243.305      0.0101
         1.75        1.75     241.718      0.0101
         1.78        1.78     240.179      0.0101
         1.82        1.82     238.685      0.0101
         1.85        1.85     237.233      0.0101
         1.88        1.88     235.823      0.0101
         1.91        1.91     234.452      0.0101
         1.94        1.94     233.118      0.0101
         1.97        1.97     231.820      0.0101
            2           2     230.556      0.0101
         2.03        2.03     229.325      0.0101
         2.06        2.06     228.125      0.0101
         2.09        2.09     226.956      0.0101
         2.12        2.12     225.815      0.0101
         2.15        2.15     224.703      0.0101
         2.18        2.18     223.617      0.0101
         2.21        2.21     222.557      0.0101
         2.24        2.24     221.522      0.0101
         2.27        2.27     220.511      0.0101
          2.3         2.3     219.524      0.0101
         2.33        2.33     218.558      0.0101
         2.36        2.36     217.614      0.0101
         2.39        2.39     216.691      0.0101
         2.42        2.42     215.788      0.0101
         2.45        2.45     214.904      0.0101
         2.48        2.48     214.040      0.0101
         2.51        2.51     213.193      0.0101
         2.54        2.54     212.364      0.0101
         2.57        2.57     211.552      0.0101
          2.6         2.6     210.757      0.0101
         2.63        2.63     209.978      0.0101
         2.66        2.66     209.214      0.0101
         2.69        2.69     208.466      0.0101
         2.72        2.72     207.732      0.0101
         2.75        2.75     207.012      0.0101
         2.78        2.78     206.306      0.0101
         2.82        2.82     205.614      0.0101
         2.85        2.85     204.934      0.0101
         2.88        2.88     204.268      0.0101
         2.91        2.91     203.613      0.0101
         2.94        2.94     202.971      0.0101
         2.97        2.97     202.340      0.0101
            3           3     201.721      0.0101
         3.03        3.03     201.113      0.0101
         3.06        3.06     200.516      0.0101
         3.09        3.09     199.929      0.0101
         3.12        3.12     199.352      0.0101
         3.15        3.15     198.785      0.0101
         3.18        3.18     198.228      0.0101
         3.21        3.21     197.681      0.0101
         3.24        3.24     197.142      0.0101
         3.27        3.27     196.613      0.0101
          3.3         3.3     196.093     0.00505
